symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
GBP_NZD,bullish,15,5,True,2018-09-18 00:00:00,2018-10-30 11:00:00,1.9461521,2018-11-12 13:00:00,1.907921785935775,SL,0.1,225.65814469939602,0.4,-226.05814469939602
EUR_JPY,bearish,14,4,False,2018-10-29 00:00:00,2018-11-02 07:00:00,129.15126,2018-11-14 14:45:00,129.15126,SL,0.25,219.71202555659568,1.0,25.365443066791485
USD_CHF,bullish,15,5,True,2018-10-30 00:00:00,2018-11-07 10:15:00,0.9956980799999999,2018-11-14 19:00:00,1.0051465167519145,SL,0.26,221.28959796149093,1.04,253.4430376557153
GBP_USD,bullish,14,4,False,2018-11-08 00:00:00,2018-11-12 07:30:00,1.28653174,2018-11-15 09:00:00,1.28653174,SL,0.1,224.75111528381328,0.4,26.570133834057597
GBP_JPY,bullish,15,5,True,2018-10-16 00:00:00,2018-10-24 15:00:00,145.15821,2018-11-15 09:30:00,145.15821,SL,0.11,225.44206002495403,0.44,26.61304720299448
USD_JPY,bullish,15,5,True,2018-10-16 00:00:00,2018-10-17 19:00:00,112.99556199999999,2018-11-16 13:30:00,112.99556199999999,SL,0.21,228.70924138195562,0.84,26.605108965834678
NZD_USD,bearish,15,5,True,2018-08-22 00:00:00,2018-11-06 21:45:00,0.67298144,2018-11-16 14:15:00,0.6847969310062612,SL,0.19,220.930279292924,0.76,-221.690279292924
USD_CHF,bullish,15,5,True,2018-11-15 00:00:00,2018-11-15 00:00:00,1.00684,2018-11-19 08:30:00,0.9988727633613439,SL,0.28,224.27363568353573,1.12,-225.39363568353573
CHF_JPY,bullish,15,5,True,2018-11-06 00:00:00,2018-11-16 10:45:00,112.415446,2018-11-20 15:00:00,113.08852114278739,SL,0.55,224.26607568353572,2.2,255.7059870360651
EUR_AUD,bearish,14,4,False,2018-11-20 00:00:00,2018-11-20 10:00:00,1.57613,2018-11-20 21:45:00,1.57613,SL,0.28,221.68749601319692,1.12,25.482499521583627
CHF_JPY,bearish,15,5,True,2018-11-21 00:00:00,2018-11-23 09:15:00,113.081116,2018-11-26 16:15:00,113.77402705273272,SL,0.48,223.24640646151016,1.92,-225.16640646151015
XAU_USD,bullish,14,4,False,2018-10-30 00:00:00,2018-11-09 13:45:00,1211.5845942382812,2018-11-28 14:00:00,1211.5845942382812,SL,0.13,223.79514422061965,0.52,26.33541730647436
NZD_CHF,bearish,15,5,True,2018-07-10 00:00:00,2018-11-07 20:00:00,0.68197716,2018-11-28 17:00:00,0.68197716,SL,0.19,221.52859072728933,0.76,25.823430887274714
GBP_CHF,bullish,15,5,True,2017-10-03 00:00:00,2018-08-10 07:30:00,1.26924248,2018-11-29 09:00:00,1.26924248,SL,0.06,224.84726563036628,0.24,26.741671875643956
EUR_CAD,bearish,15,5,True,2018-10-09 00:00:00,2018-11-20 19:45:00,1.51365918,2018-11-30 02:30:00,1.51365918,SL,0.13,223.01723558352467,0.52,26.24206827002296
EUR_AUD,bearish,14,4,False,2018-11-21 00:00:00,2018-11-21 00:00:00,1.5731977799999999,2018-12-03 00:00:00,1.541131806526354,TP3,0.22,223.24640646151016,0.88,367.4765706614918
EUR_JPY,bullish,14,4,False,2018-11-15 00:00:00,2018-11-15 08:45:00,128.32914,2018-12-04 15:30:00,128.32914,SL,0.24,224.27363568353573,0.96,25.952836282024286
CAD_JPY,bullish,15,5,True,2018-11-06 00:00:00,2018-11-06 00:00:00,86.396,2018-12-05 15:30:00,84.49507585852947,SL,0.17,219.9555029814226,0.68,-216.65887887749398
EUR_CAD,bearish,14,4,False,2018-12-03 00:00:00,2018-12-03 02:00:00,1.49370432,2018-12-05 16:45:00,1.518837220870168,SL,0.12,224.9919120802784,0.48,-225.4719120802784
GBP_AUD,bullish,14,4,False,2018-01-16 00:00:00,2018-12-03 13:00:00,1.7226483400000001,2018-12-06 01:15:00,1.7600757663408646,TP3,0.19,224.9919120802784,0.76,370.4766549324595
EUR_AUD,bearish,15,5,True,2018-12-04 00:00:00,2018-12-05 23:45:00,1.5632394,2018-12-06 14:00:00,1.5772041635964693,SL,0.25,222.70419258016761,1.0,-223.70419258016761
GBP_USD,bullish,14,4,False,2018-11-16 00:00:00,2018-11-16 00:00:00,1.28312,2018-12-10 13:15:00,1.2634206633443654,SL,0.11,224.26607568353572,0.44,-224.70607568353572
