date,day_start_equity,day_end_balance,daily_pnl,daily_dd_pct,total_dd_pct,safety_triggered
2020-01-05,27410.910005958794,27410.910005958794,0.0,0.0,0.0,False
2020-01-06,27410.910005958794,27529.32513718454,118.41513122574543,0.0,0.0,False
2020-01-07,27959.000103799008,27571.582983185097,-387.4171206139108,1.5693277821137301,0.0,False
2020-01-08,27520.231747568883,27696.30308593949,176.0713383706061,0.0,0.0,False
2020-01-09,28525.693430086,27948.14281677531,-577.5506133106901,1.2277369510243066,0.0,False
2020-01-10,28175.472951308922,28258.92381438257,83.45086307364909,0.0,0.0,False
2020-01-12,28576.978155137025,28258.92381438257,-318.05434075445373,0.016174669863901692,0.0,False
2020-01-13,28572.355923263352,28669.38256865284,97.02664538948738,0.0,0.0,False
2020-01-14,29385.764389794207,28758.208499826003,-627.5558899682037,1.4914737440054444,0.0,False
2020-01-15,28947.483429445125,28756.168499826003,-191.31492961912227,0.0,0.0,False
2020-01-16,29533.099070328662,28816.087833581652,-717.0112367470101,0.0,0.0,False
2020-01-17,29655.771023045632,28876.70963193561,-779.0613911100227,1.8224314037660454,0.0,False
2020-01-19,29115.314938892698,28876.70963193561,-238.60530695708803,0.0,0.0,False
2020-01-20,29237.73113843654,28876.02963193561,-361.7015065009291,0.19234589734389837,0.0,False
2020-01-21,29181.493562115316,28874.469631935608,-307.02393017970826,1.4164108713756454,0.0,False
2020-01-22,28768.16371487173,28652.04236768076,-116.1213471909723,0.16750197057363744,0.0,False
2020-01-23,28719.97647375147,28423.687237718877,-296.2892360325932,0.0,0.0,False
2020-01-24,28867.22804401622,28515.962201167717,-351.2658428485047,0.3514634330049754,0.0,False
2020-01-26,28765.770293319347,28515.962201167717,-249.80809215163026,0.0,0.0,False
2020-01-27,28935.345176871804,28066.63152376359,-868.7136531082142,0.1330312334259362,0.0,False
2020-01-28,28896.85213028696,27999.47424583878,-897.3778844481785,0.6588062740881493,0.0,False
2020-01-29,28706.477855438654,27740.245864529654,-966.2319909090002,0.0,0.0,False
2020-01-30,28752.12506984656,28185.75366552421,-566.3714043223481,0.0,0.0,False
2020-01-31,28842.402455027866,28056.064238847404,-786.338216180462,0.0,0.0,False
2020-02-02,28942.871765425734,28056.064238847404,-886.80752657833,0.010812049441876574,0.0,False
2020-02-03,28939.742447820558,28145.325886981274,-794.4165608392832,0.7985717587606103,0.0,False
2020-02-04,28708.637837574206,28665.655289067105,-42.982548507101455,0.0,0.0,False
2020-02-05,28881.976853717166,28696.052241025045,-185.92461269212072,0.02732085660586414,0.0,False
2020-02-06,28874.086050236023,28878.738302180314,4.652251944291493,0.0,0.0,False
2020-02-07,29132.10087238608,28919.15908396678,-212.94178841929897,0.0,0.0,False
2020-02-09,29194.47371569696,28919.15908396678,-275.3146317301798,0.0,0.0,False
2020-02-10,29333.530877131696,28657.368186365176,-676.1626907665195,1.0609914077956457,0.0,False
2020-02-11,29022.304634922246,28656.408186365177,-365.89644855706865,0.34310932929859816,0.0,False
2020-02-12,28922.72640014237,28718.339452882235,-204.38694726013273,0.1328096695570841,0.0,False
2020-02-13,28884.31422278344,28748.64849024859,-135.66573253484967,0.345296320047005,0.0,False
2020-02-14,28784.577748701355,28612.037416371997,-172.54033232935762,1.109103236567481,0.0,False
2020-02-16,28465.327065258225,28612.037416371997,146.71035111377205,0.0,0.0,False
2020-02-17,28631.455320732282,28351.41120240714,-280.04411832514234,0.0,0.0,False
2020-02-18,28672.625976871906,28679.54643657998,6.920459708075214,0.0,0.0,False
2020-02-19,28707.577816768393,28346.25154652231,-361.32627024608155,0.0,0.0,False
2020-02-20,28983.001705738676,28241.6414525553,-741.3602531833749,0.0,0.0,False
2020-02-21,29098.410379624733,28811.5829746169,-286.82740500783257,0.0,0.0,False
2020-02-23,29331.872506888012,28811.5829746169,-520.289532271112,0.0,0.0,False
2020-02-24,29522.204783466816,28842.61443025572,-679.590353211097,0.0,0.0,False
2020-02-25,29558.093821077346,28842.33443025572,-715.7593908216259,0.39209845733939425,0.0,False
2020-02-26,29442.19699118597,29230.099048279404,-212.09794290656646,0.0,0.0,False
2020-02-27,29572.878947176563,28505.615033252423,-1067.26391392414,2.3961843626798407,0.0,False
2020-02-28,28864.25824625008,28925.272999847853,61.01475359777396,0.0,0.0,False
2020-03-01,29019.35220344369,28925.272999847853,-94.07920359583659,0.6396927616916466,0.0,False
2020-03-02,28833.717507908455,28671.146417131604,-162.57109077685163,0.3698675772340108,0.0,False
2020-03-03,28727.070935535456,28760.949245913405,33.878310377949674,0.0,0.0,False
2020-03-04,28924.539305386716,28760.949245913405,-163.59005947331025,0.0,0.0,False
2020-03-05,28954.177140583713,28760.949245913405,-193.22789467030816,0.20888564515019586,0.0,False
2020-03-06,28893.696020865675,28766.94192850372,-126.75409236195628,0.0,0.0,False
2020-03-08,29164.71186766753,28766.94192850372,-397.7699391638125,0.3465699716189376,0.0,False
2020-03-09,29063.63573402501,29252.78720555478,189.1514715297708,0.0,0.0,False
2020-03-10,29258.346741521455,29345.161523201565,86.81478168011017,0.0,0.0,False
2020-03-11,29563.238073864602,29501.12748677776,-62.110587086841406,0.0,0.0,False
2020-03-12,29812.852793368784,29772.37508800212,-40.47770536666212,0.0,0.0,False
2020-03-13,29927.66624152249,29534.137877305144,-393.52836421734537,1.473043361660615,0.0,False
2020-03-15,29486.818740651797,29534.137877305144,47.319136653346504,0.0,0.0,False
2020-03-16,29605.310177721185,29566.290962400188,-39.01921532099732,0.0,0.0,False
2020-03-17,29697.856890980136,29565.49096240019,-132.36592857994765,1.088642544930392,0.0,False
2020-03-18,29374.553385932384,29060.799805055543,-313.7535808768407,1.0143890010970673,0.0,False
2020-03-19,29076.5811472641,28862.39843789279,-214.18270937131092,0.026157511043063273,0.0,False
2020-03-20,29068.97543733956,28861.678437892788,-207.29699944677122,0.14149050228985655,0.0,False
2020-03-22,29027.845597982752,28861.678437892788,-166.16716008996445,0.0,0.0,False
2020-03-23,29133.74424117808,28861.678437892788,-272.0658032852916,0.6869307360657422,0.0,False
2020-03-24,28933.615597418644,28861.678437892788,-71.93715952585626,0.4317109160658055,0.0,False
2020-03-25,28808.70602047207,28861.678437892788,52.97241742071856,0.20249043610286568,0.0,False
2020-03-26,28750.371146015623,28892.849050605713,142.47790459009047,0.0,0.0,False
2020-03-27,28973.904817410297,29017.53150145741,43.626684047114395,0.0,0.0,False
2020-03-29,29240.680276517727,29017.53150145741,-223.14877506031553,0.0,0.0,False
2020-03-30,29298.032223158465,29195.155230745906,-102.87699241255905,0.0,0.0,False
2020-03-31,29327.9767027628,29226.52782902921,-101.4488737335887,0.0,0.0,False
2020-04-01,29720.478398731815,29289.595310649627,-430.8830880821879,0.0,0.0,False
2020-04-02,29887.04144995707,29289.595310649627,-597.4461393074416,0.500969321768969,0.0,False
2020-04-03,29737.31654110841,29289.595310649627,-447.72123045878106,0.0,0.0,False
2020-04-05,29967.818980595097,29289.595310649627,-678.2236699454697,0.12012291322528831,0.0,False
2020-04-06,29931.820763405525,29320.687908932934,-611.1328544725911,0.8156078128794984,0.0,False
2020-04-07,29687.6944947221,29319.967908932933,-367.7265857891689,0.0,0.0,False
2020-04-08,29729.3795768525,29319.967908932933,-409.4116679195686,2.1102314730249425,0.0,False
2020-04-09,29102.02085228671,29054.641717752536,-47.37913453417423,0.9604422903836103,0.0,False
2020-04-10,28822.512736665092,29054.641717752536,232.12898108744412,0.0,0.0,False
2020-04-12,28828.004109412617,29054.641717752536,226.6376083399191,0.0,0.0,False
