ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1001468,GBP_CAD,sell,1.61,1.64906,1.64934,2017-07-31 14:45:00+00:00,2017-07-31 21:00:00+00:00,-45.080000000009335,0.0,1.6676596461035402,0,0.345,0.072,
1001461_partial_1501534800,USD_CHF,sell,0.14,0.96694,0.96636,2017-07-31 00:45:00+00:00,2017-07-31 21:00:00+00:00,8.12000000000035,0.0,0.9757508439567908,0,,,True
1001465_partial_1501534800,EUR_AUD,buy,0.33,1.471719,1.47998,2017-07-31 01:45:00+00:00,2017-07-31 21:00:00+00:00,272.61300000000244,0.0,1.4516126167845478,0,,,True
1001470_partial_1501534800,NZD_CAD,buy,0.58,0.9342665,0.93782,2017-07-31 07:00:00+00:00,2017-07-31 21:00:00+00:00,206.1029999999992,0.0,0.9229918586831235,0,,,True
1001466_partial_1501534800,GBP_JPY,sell,0.88,145.711,145.648,2017-07-31 14:45:00+00:00,2017-07-31 21:00:00+00:00,55.44000000001461,0.0,147.2249880736757,0,,,True
1001465_partial_1501589700,EUR_AUD,buy,0.3,1.471719,1.481772191607726,2017-07-31 01:45:00+00:00,2017-08-01 12:15:00+00:00,301.59574823177985,0.0,1.4516126167845478,0,,,True
1001464,EUR_JPY,buy,0.54,129.6601,129.87688780797222,2017-07-31 00:45:00+00:00,2017-08-01 14:45:00+00:00,117.06541630500114,0.0,129.88188780797222,0,0.845,0.07,
1001481,GBP_NZD,sell,0.66,1.767886,1.76837,2017-08-01 10:00:00+00:00,2017-08-01 21:00:00+00:00,-31.94399999999531,0.0,1.8070268339334865,0,0.09,0.106,
1001461_partial_1501621200,USD_CHF,sell,0.07,0.96694,0.96554,2017-07-31 00:45:00+00:00,2017-08-01 21:00:00+00:00,9.800000000000477,0.0,0.9757508439567908,0,,,True
1001470_partial_1501621200,NZD_CAD,buy,0.29,0.9342665,0.93664,2017-07-31 07:00:00+00:00,2017-08-01 21:00:00+00:00,68.83150000000082,0.0,0.9229918586831235,0,,,True
