ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial,mfe_r,mae_r
1002857,XAG_USD,buy,0.65,17.66930073547363,17.58054,2019-10-02 17:30:00+00:00,2019-10-02 22:00:00+00:00,-288.4723902893009,0.0,16.749876559758647,0,,0.006,0.138
1002853,EUR_AUD,buy,0.010000000000000009,1.6235450000000002,1.63458,2019-10-01 05:45:00+00:00,2019-10-02 22:00:00+00:00,11.034999999999695,0.0,1.6219001821004593,0,,0.83,0.063
1002855,USD_CAD,buy,6.55,1.3280580000000002,1.33286,2019-10-02 14:00:00+00:00,2019-10-02 22:00:00+00:00,3145.3099999998367,0.0,1.3191851299708786,0,,0.555,0.0
1002861,XAU_USD,buy,0.88,1499.7859999999998,1506.384,2019-10-03 00:00:00+00:00,2019-10-03 22:00:00+00:00,580.6240000000162,0.0,1451.370909458633,0,,0.41,0.08
1002862,XAG_USD,buy,0.72,17.577830000000002,17.5914,2019-10-03 00:00:00+00:00,2019-10-03 22:00:00+00:00,48.8519999999923,0.0,16.74811685213847,0,,0.267,0.126
1002859,EUR_AUD,buy,2.84,1.62628,1.62644,2019-10-03 20:45:00+00:00,2019-10-03 22:00:00+00:00,45.440000000045444,0.0,1.6033894732131424,0,,0.04,0.003
1002827_partial_1570140000,EUR_CHF,sell,3.68,1.097768,1.09537,2019-10-03 13:15:00+00:00,2019-10-03 22:00:00+00:00,882.4640000000451,0.0,1.1042944285714287,0,True,,
1002827_partial_1570217400,EUR_CHF,sell,0.37,1.097768,1.09258,2019-10-03 13:15:00+00:00,2019-10-04 19:30:00+00:00,191.95599999999888,0.0,1.1042944285714287,0,True,,
1002866_partial_1570217400,XAU_USD,buy,0.24,1507.7679999999998,1505.707,2019-10-04 00:00:00+00:00,2019-10-04 19:30:00+00:00,-49.463999999992666,0.0,1451.3126309091324,0,True,,
1002867_partial_1570217400,XAG_USD,buy,0.22,17.626800000000003,17.554,2019-10-04 00:00:00+00:00,2019-10-04 19:30:00+00:00,-80.08000000000486,0.0,16.753682806530225,0,True,,
1002863_partial_1570217400,USD_CAD,buy,1.38,1.33122,1.3316,2019-10-04 11:45:00+00:00,2019-10-04 19:30:00+00:00,52.43999999997583,0.0,1.3184648518626454,0,True,,
1002864_partial_1570217400,EUR_AUD,buy,1.57,1.62182,1.62241,2019-10-04 13:30:00+00:00,2019-10-04 19:30:00+00:00,92.62999999997935,0.0,1.6093717099795404,0,True,,
1002866,XAU_USD,buy,0.55,1507.7679999999998,1508.028,2019-10-04 00:00:00+00:00,2019-10-06 22:00:00+00:00,14.300000000012007,0.0,1451.3126309091324,0,,0.143,0.211
1002867,XAG_USD,buy,0.51,17.626800000000003,17.5961,2019-10-04 00:00:00+00:00,2019-10-06 22:00:00+00:00,-78.2850000000078,0.0,16.753682806530225,0,,0.082,0.376
1002863,USD_CAD,buy,3.21,1.33122,1.33077,2019-10-04 11:45:00+00:00,2019-10-06 22:00:00+00:00,-144.45000000001974,0.0,1.3184648518626454,0,,0.17,0.1
1002864,EUR_AUD,buy,3.6499999999999995,1.62182,1.62414,2019-10-04 13:30:00+00:00,2019-10-06 22:00:00+00:00,846.7999999999553,0.0,1.6093717099795404,0,,0.297,0.072
1002827,EUR_CHF,sell,0.8500000000000002,1.097768,1.09242,2019-10-03 13:15:00+00:00,2019-10-06 22:00:00+00:00,454.5800000000112,0.0,1.1042944285714287,0,,1.043,0.031
1002882,GBP_AUD,buy,1.79,1.82476,1.82546,2019-10-07 00:00:00+00:00,2019-10-07 22:00:00+00:00,125.30000000002595,0.0,1.788790517765337,0,,0.164,0.105
1002872,USD_CAD,buy,12.64,1.3326670000000003,1.33094,2019-10-07 06:00:00+00:00,2019-10-07 22:00:00+00:00,-2182.928000000324,0.0,1.327972275330546,0,,0.088,0.773
1002883,GBP_CAD,sell,2.75,1.6403009999999998,1.63568,2019-10-07 07:00:00+00:00,2019-10-07 22:00:00+00:00,1270.7749999999353,0.0,1.6617140297291377,0,,0.226,0.066
1002868,EUR_USD,sell,4.46,1.09703,1.0972,2019-10-07 07:15:00+00:00,2019-10-07 22:00:00+00:00,-75.82000000000156,0.0,1.1069523924033355,0,,0.084,0.303
1002874,NZD_USD,sell,3.16,0.62885,0.6289,2019-10-07 08:30:00+00:00,2019-10-07 22:00:00+00:00,-15.79999999999826,0.0,0.638525972390421,0,,0.052,0.133
1002880,EUR_NZD,buy,2.41,1.74493,1.74458,2019-10-07 10:00:00+00:00,2019-10-07 22:00:00+00:00,-84.35000000001747,0.0,1.7278881101629753,0,,0.171,0.129
1002884,GBP_NZD,buy,1.47,1.9605690000000002,1.9539,2019-10-07 10:45:00+00:00,2019-10-07 22:00:00+00:00,-980.3430000000379,0.0,1.9129040864588145,0,,0.026,0.154
1002911,NZD_USD,sell,3.46,0.62928,0.62954,2019-10-08 00:00:00+00:00,2019-10-08 22:00:00+00:00,-89.96000000001314,0.0,0.6385084029339623,0,,0.05,0.373
1002914,XAU_USD,buy,2.2800000000000002,1504.7450146484375,1506.302,2019-10-08 10:15:00+00:00,2019-10-08 22:00:00+00:00,354.99266015622476,0.0,1485.4757411411829,0,,0.259,0.356
1002909,USD_CAD,buy,10.620000000000001,1.3326300000000002,1.33242,2019-10-08 11:00:00+00:00,2019-10-08 22:00:00+00:00,-223.020000000282,0.0,1.3270731128069357,0,,0.189,0.383
1002915,XAG_USD,buy,1.73,17.66930073547363,17.75158,2019-10-08 13:00:00+00:00,2019-10-08 22:00:00+00:00,711.7156381531036,0.0,17.16282222766808,0,,0.274,0.07
1002906,EUR_USD,sell,3.87,1.0955499999999998,1.09564,2019-10-08 14:30:00+00:00,2019-10-08 22:00:00+00:00,-34.830000000056316,0.0,1.1069479358030974,0,,0.127,0.061
1002923,XAU_USD,buy,1.75,1504.7400146484374,1506.648,2019-10-09 01:00:00+00:00,2019-10-09 22:00:00+00:00,333.8974365234378,0.0,1479.575774976348,0,,0.307,0.19
1002916,EUR_USD,sell,4.45,1.09701,1.09742,2019-10-09 07:00:00+00:00,2019-10-09 22:00:00+00:00,-182.45000000000957,0.0,1.106879511817162,0,,0.023,0.204
1002917,USD_JPY,sell,3.64,107.483,107.458,2019-10-09 16:15:00+00:00,2019-10-09 22:00:00+00:00,91.00000000002069,0.0,108.77913939367926,0,,0.069,0.113
1002921,NZD_USD,sell,3.23,0.62905,0.62904,2019-10-09 16:45:00+00:00,2019-10-09 22:00:00+00:00,3.2299999999853,0.0,0.6384710170101079,0,,0.029,0.099
1002919,USD_CAD,buy,8.75,1.33359,1.33332,2019-10-09 20:00:00+00:00,2019-10-09 22:00:00+00:00,-236.2499999999934,0.0,1.326839033320726,0,,0.043,0.079
1002926_partial_1570720500,GBP_USD,buy,0.7,1.2252640000000001,1.2321945357142858,2019-10-10 09:30:00+00:00,2019-10-10 15:15:00+00:00,485.1374999999991,0.0,1.2144747142857142,0,True,,
1002926_partial_1570729500,GBP_USD,buy,1.69,1.2252640000000001,1.245081678571429,2019-10-10 09:30:00+00:00,2019-10-10 17:45:00+00:00,3349.1876785714667,0.0,1.2241400714285715,0,True,,
1002929,USD_CAD,buy,10.0,1.3326170000000002,1.32896,2019-10-10 01:15:00+00:00,2019-10-10 22:00:00+00:00,-3657.0000000002433,0.0,1.3267583880835312,0,,0.004,0.979
1002931,NZD_USD,sell,3.44,0.629719,0.6321,2019-10-10 01:15:00+00:00,2019-10-10 22:00:00+00:00,-819.0639999999885,0.0,0.6385166586522429,0,,0.0,0.432
1002905,CAD_JPY,sell,3.8200000000000003,80.91095,81.17,2019-10-10 01:30:00+00:00,2019-10-10 22:00:00+00:00,-989.5710000000078,0.0,82.1415643499103,0,,0.235,0.345
