symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl
GBP_AUD,bullish,2023-10-02T02:00:00,1.90437192,2023-10-24T01:00:00,1.9309040999020872,0.23,360.59644503291275,0.92,0.9524486714645342,343.4496050064317
AUD_CAD,bearish,2023-10-24T06:00:00,0.87085282,2023-10-25T00:00:00,0.8781373017033555,0.7,382.4352894261634,2.8,-1.0073215000744344,-385.23528942616343
EUR_AUD,bullish,2023-09-20T00:00:00,1.6569337,2023-10-25T01:00:00,1.6569337,0.15,359.07088694034405,0.6,0.20832902075377754,74.80488625747225
GBP_USD,bearish,2023-10-10T16:00:00,1.2290001,2023-10-26T12:00:00,1.2099291729817847,0.21,364.08133398411087,0.84,0.9526928232194473,346.8576739548251
USD_JPY,bullish,2023-10-17T00:00:00,149.507,2023-10-27T18:00:00,149.507,0.39,376.4718224131501,1.56,0.2058562635843486,77.49908270676151
AUD_JPY,bullish,2023-10-25T17:00:00,94.589602,2023-10-31T12:00:00,95.78789963349345,0.52,377.83413745533403,2.08,0.9494949389327078,358.7516012698447
NZD_CAD,bullish,2023-10-18T15:00:00,0.80193842,2023-11-02T05:00:00,0.8136190167749664,0.48,382.27407627162654,1.92,0.949977425571919,363.1517428394032
CAD_CHF,bullish,2023-10-30T00:00:00,0.65229132,2023-11-03T09:00:00,0.6578640911909959,0.76,385.02782774152996,3.04,0.9471044667918395,364.66157549316193
NZD_USD,bearish,2023-11-02T00:00:00,0.5880268,2023-11-03T12:00:00,0.5956622863807247,0.51,389.40980541696246,2.04,-1.005238697052879,-391.4498054169625
USD_JPY,bullish,2023-11-02T12:00:00,149.958294,2023-11-03T12:00:00,149.958294,0.64,396.66476106850126,2.56,0.2035461874830925,80.73959982438525
EUR_AUD,bullish,2023-11-02T04:00:00,1.65265092,2023-11-09T01:00:00,1.6694298703605073,0.4,396.5933721574446,1.6,0.9509656411016267,377.14667041036034
USD_CAD,bullish,2023-11-03T13:00:00,1.36821654,2023-11-09T20:00:00,1.3804816402526774,0.48,401.40328099671405,1.92,0.9502167805025622,381.42013335186294
ETH_USD,bullish,2023-11-09T00:00:00,1909.869053222656,2023-11-13T00:00:00,2113.089155636605,2.19,404.5927493514074,0.0,0.9550000000000001,386.3860756305941
EUR_GBP,bullish,2023-11-03T20:00:00,0.8664,2023-11-13T08:00:00,0.8732826797811458,0.51,398.88257822549815,2.04,0.9498857129607545,378.89286220535126
