step,position,leg,symbol,side,volume,entry_time,entry_price,initial_sl,risk_distance,exit_time,exit_price,realized_R,exit_kind,pnl,swap,day_from_start,counted_toward_pass,mfe_r,mae_r
1,1000060,3,EUR_CHF,buy,1.0400000000000003,2016-06-03 12:45:00+00:00,1.1070775000000002,1.1007616212380897,0.006316,2016-06-06 21:00:00+00:00,1.10241,-0.74,FINAL,-485.42,0.0,6,False,0.444,0.798
1,1000075,1,EUR_AUD,buy,0.8,2016-06-08 21:00:00+00:00,1.5212970000000001,1.4817458941232737,0.039551,2016-06-09 21:00:00+00:00,1.52265,0.03,PARTIAL/TP,108.24,0.0,9,False,,
1,1000075,2,EUR_AUD,buy,0.24,2016-06-08 21:00:00+00:00,1.5212970000000001,1.4817458941232737,0.039551,2016-06-10 19:30:00+00:00,1.52667,0.14,PARTIAL/TP,128.95,0.0,10,False,,
1,1000075,3,EUR_AUD,buy,0.28,2016-06-08 21:00:00+00:00,1.5212970000000001,1.4817458941232737,0.039551,2016-06-12 21:00:00+00:00,1.525,0.09,PARTIAL/TP,103.68,0.0,12,False,,
1,1000075,4,EUR_AUD,buy,0.14,2016-06-08 21:00:00+00:00,1.5212970000000001,1.4817458941232737,0.039551,2016-06-13 21:00:00+00:00,1.52868,0.19,PARTIAL/TP,103.36,0.0,13,False,,
1,1000075,5,EUR_AUD,buy,0.07,2016-06-08 21:00:00+00:00,1.5212970000000001,1.4817458941232737,0.039551,2016-06-14 21:00:00+00:00,1.52454,0.08,PARTIAL/TP,22.7,0.0,14,False,,
1,1000075,6,EUR_AUD,buy,0.06,2016-06-08 21:00:00+00:00,1.5212970000000001,1.4817458941232737,0.039551,2016-06-15 21:00:00+00:00,1.5204,-0.02,FINAL,-5.38,0.0,15,False,0.248,0.189
1,1000076,1,EUR_CAD,sell,2.9,2016-06-06 19:30:00+00:00,1.4552999999999998,1.4760010320831884,0.020701,2016-06-06 21:00:00+00:00,1.45655,-0.06,FINAL,-362.5,0.0,6,False,0.019,0.071
1,1000084,1,NZD_CHF,buy,2.08,2016-06-06 20:45:00+00:00,0.67185,0.6610280340511848,0.010822,2016-06-06 21:00:00+00:00,0.67206,0.02,PARTIAL/TP,43.68,0.0,6,False,,
1,1000084,2,NZD_CHF,buy,1.04,2016-06-06 20:45:00+00:00,0.67185,0.6610280340511848,0.010822,2016-06-07 21:00:00+00:00,0.67328,0.13,PARTIAL/TP,148.72,0.0,7,False,,
1,1000084,3,NZD_CHF,buy,0.59,2016-06-06 20:45:00+00:00,0.67185,0.6610280340511848,0.010822,2016-06-08 21:00:00+00:00,0.6788842778667298,0.65,PARTIAL/TP,415.02,0.0,8,False,,
1,1000084,4,NZD_CHF,buy,0.45999999999999985,2016-06-06 20:45:00+00:00,0.67185,0.6610280340511848,0.010822,2016-06-14 21:00:00+00:00,0.67402,0.2,FINAL,99.82,0.0,14,False,1.623,0.24
1,1000085,1,EUR_JPY,sell,0.49,2016-06-07 09:15:00+00:00,122.6653,124.74638228558142,2.081082,2016-06-07 21:00:00+00:00,121.938,0.35,PARTIAL/TP,356.38,0.0,7,False,,
1,1000085,2,EUR_JPY,sell,0.25,2016-06-07 09:15:00+00:00,122.6653,124.74638228558142,2.081082,2016-06-08 21:00:00+00:00,121.954,0.34,PARTIAL/TP,177.83,0.0,8,False,,
1,1000085,3,EUR_JPY,sell,0.25,2016-06-07 09:15:00+00:00,122.6653,124.74638228558142,2.081082,2016-06-09 21:00:00+00:00,121.122,0.74,FINAL,385.83,0.0,9,False,1.124,0.017
1,1000086,1,EUR_AUD,sell,0.3,2016-06-06 01:30:00+00:00,1.550637,1.5715840370980132,0.020947,2016-06-06 01:45:00+00:00,1.5470052188198722,0.17,PARTIAL/TP,108.95,0.0,6,False,,
1,1000086,2,EUR_AUD,sell,0.9099999999999999,2016-06-06 01:30:00+00:00,1.550637,1.5715840370980132,0.020947,2016-06-06 02:00:00+00:00,1.54963,0.05,FINAL,91.64,0.0,6,False,0.085,0.0
1,1000092,1,AUD_CAD,buy,1.79,2016-06-06 16:30:00+00:00,0.9449935,0.9311267961407197,0.013867,2016-06-06 21:00:00+00:00,0.9446,-0.03,FINAL,-70.44,0.0,6,False,0.202,0.088
1,1000093,1,NZD_CHF,buy,2.37,2016-06-06 16:30:00+00:00,0.672281,0.6610663443628144,0.011215,2016-06-06 21:00:00+00:00,0.67206,-0.02,FINAL,-52.38,0.0,6,False,0.112,0.045
1,1000095,1,GBP_USD,buy,1.6500000000000001,2016-06-07 04:00:00+00:00,1.45445,1.4263859869183169,0.028064,2016-06-07 21:00:00+00:00,1.45434,-0.0,FINAL,-18.15,0.0,7,False,0.228,0.184
1,1000099,1,EUR_CHF,sell,2.41,2016-06-07 00:00:00+00:00,1.10214,1.1124828878100144,0.010343,2016-06-07 21:00:00+00:00,1.0964,0.55,FINAL,1383.34,0.0,7,False,0.574,0.115
1,1000102,1,AUD_CAD,buy,1.35,2016-06-07 00:00:00+00:00,0.94544,0.9309188956519471,0.014521,2016-06-07 21:00:00+00:00,0.95056,0.35,PARTIAL/TP,691.2,0.0,7,False,,
1,1000102,2,AUD_CAD,buy,0.68,2016-06-07 00:00:00+00:00,0.94544,0.9309188956519471,0.014521,2016-06-08 21:00:00+00:00,0.9509,0.38,PARTIAL/TP,371.28,0.0,8,False,,
1,1000102,3,AUD_CAD,buy,0.34,2016-06-07 00:00:00+00:00,0.94544,0.9309188956519471,0.014521,2016-06-09 21:00:00+00:00,0.94551,0.0,PARTIAL/TP,2.38,0.0,9,False,,
1,1000102,4,AUD_CAD,buy,0.1,2016-06-07 00:00:00+00:00,0.94544,0.9309188956519471,0.014521,2016-06-10 19:30:00+00:00,0.94095,-0.31,PARTIAL/TP,-44.9,0.0,10,False,,
1,1000102,5,AUD_CAD,buy,0.23,2016-06-07 00:00:00+00:00,0.94544,0.9309188956519471,0.014521,2016-06-12 21:00:00+00:00,0.94286,-0.18,FINAL,-59.34,0.0,12,False,0.631,0.441
1,1000104,1,GBP_USD,sell,2.05,2016-06-08 07:45:00+00:00,1.4503599999999999,1.4738505121472771,0.023491,2016-06-08 21:00:00+00:00,1.45128,-0.04,FINAL,-188.6,0.0,8,False,0.013,0.413
1,1000112,1,NZD_CAD,buy,1.93,2016-06-08 00:00:00+00:00,0.88688,0.8674831025892568,0.019397,2016-06-08 21:00:00+00:00,0.90082,0.72,FINAL,2690.42,0.0,8,False,0.845,0.022
1,1000113,1,CAD_JPY,sell,0.58,2016-06-08 01:45:00+00:00,83.76605,86.07857373181713,2.312524,2016-06-08 21:00:00+00:00,84.314,-0.24,FINAL,-317.81,0.0,8,False,0.002,0.348
1,1000114,1,CAD_CHF,sell,0.56,2016-06-08 14:30:00+00:00,0.75565,0.7769546693311375,0.021305,2016-06-08 21:00:00+00:00,0.7557,-0.0,FINAL,-2.8,0.0,8,False,0.101,0.041
1,1000117,1,XAG_USD,buy,0.19,2016-06-08 13:30:00+00:00,17.074700439453125,15.79298915292019,1.281711,2016-06-08 21:00:00+00:00,17.03997,-0.03,FINAL,-32.99,0.0,8,False,0.02,0.11
1,1000127,1,AUD_CHF,sell,0.14,2016-06-09 01:00:00+00:00,0.71675,0.7258295306705911,0.00908,2016-06-09 21:00:00+00:00,0.71699,-0.03,FINAL,-3.36,0.0,9,False,0.307,0.098
1,1000129,1,CAD_JPY,sell,0.73,2016-06-09 07:30:00+00:00,83.76605,86.07106846525876,2.305018,2016-06-09 21:00:00+00:00,84.136,-0.16,FINAL,-270.06,0.0,9,False,0.141,0.235
1,1000130,1,CAD_CHF,buy,1.46,2016-06-09 14:45:00+00:00,0.75835,0.7480574499068009,0.010293,2016-06-09 21:00:00+00:00,0.75832,-0.0,FINAL,-4.38,0.0,9,False,0.033,0.142
1,1000131,1,CHF_JPY,sell,0.73,2016-06-09 08:15:00+00:00,110.5899,112.8973645758783,2.307465,2016-06-09 21:00:00+00:00,110.95,-0.16,FINAL,-262.87,0.0,9,False,0.14,0.262
1,1000133,1,EUR_USD,buy,0.9,2016-06-10 15:30:00+00:00,1.1276469999999998,1.1091875752866955,0.018459,2016-06-10 19:30:00+00:00,1.12605,-0.09,PARTIAL/TP,-143.73,0.0,10,False,,
1,1000133,2,EUR_USD,buy,2.0900000000000003,2016-06-10 15:30:00+00:00,1.1276469999999998,1.1091875752866955,0.018459,2016-06-12 21:00:00+00:00,1.1251,-0.14,FINAL,-532.32,0.0,12,False,0.045,0.169
1,1000134,1,GBP_USD,sell,0.31,2016-06-10 13:30:00+00:00,1.4357349999999998,1.4657702512362851,0.030035,2016-06-10 19:30:00+00:00,1.42594,0.33,PARTIAL/TP,303.64,0.0,10,False,,
1,1000134,2,GBP_USD,sell,0.36,2016-06-10 13:30:00+00:00,1.4357349999999998,1.4657702512362851,0.030035,2016-06-12 21:00:00+00:00,1.42466,0.37,PARTIAL/TP,398.7,0.0,12,False,,
1,1000134,3,GBP_USD,sell,0.26,2016-06-10 13:30:00+00:00,1.4357349999999998,1.4657702512362851,0.030035,2016-06-13 08:30:00+00:00,1.4162945866964145,0.65,PARTIAL/TP,505.45,0.0,13,False,,
1,1000134,4,GBP_USD,sell,0.09999999999999998,2016-06-10 13:30:00+00:00,1.4357349999999998,1.4657702512362851,0.030035,2016-06-13 21:00:00+00:00,1.42312,0.42,FINAL,126.15,0.0,13,False,0.805,0.007
1,1000142,1,AUD_CHF,sell,1.56,2016-06-10 03:00:00+00:00,0.714683,0.7249585084981534,0.010276,2016-06-10 19:30:00+00:00,0.71106,0.35,PARTIAL/TP,565.19,0.0,10,False,,
1,1000142,2,AUD_CHF,sell,1.82,2016-06-10 03:00:00+00:00,0.714683,0.7249585084981534,0.010276,2016-06-12 21:00:00+00:00,0.71216,0.25,PARTIAL/TP,459.19,0.0,12,False,,
1,1000142,3,AUD_CHF,sell,0.91,2016-06-10 03:00:00+00:00,0.714683,0.7249585084981534,0.010276,2016-06-13 21:00:00+00:00,0.71218,0.24,PARTIAL/TP,227.77,0.0,13,False,,
1,1000142,4,AUD_CHF,sell,0.91,2016-06-10 03:00:00+00:00,0.714683,0.7249585084981534,0.010276,2016-06-14 21:00:00+00:00,0.7085,0.6,FINAL,562.65,0.0,14,False,0.726,0.138
1,1000144,1,CAD_JPY,sell,0.74,2016-06-10 17:45:00+00:00,83.68100000000001,86.06792071774028,2.386921,2016-06-10 19:30:00+00:00,83.702,-0.01,PARTIAL/TP,-15.54,0.0,10,False,,
1,1000144,2,CAD_JPY,sell,0.87,2016-06-10 17:45:00+00:00,83.68100000000001,86.06792071774028,2.386921,2016-06-12 21:00:00+00:00,83.61,0.03,PARTIAL/TP,61.77,0.0,12,False,,
1,1000144,3,CAD_JPY,sell,0.43,2016-06-10 17:45:00+00:00,83.68100000000001,86.06792071774028,2.386921,2016-06-13 21:00:00+00:00,82.782,0.38,PARTIAL/TP,386.57,0.0,13,False,,
1,1000144,4,CAD_JPY,sell,0.4300000000000002,2016-06-10 17:45:00+00:00,83.68100000000001,86.06792071774028,2.386921,2016-06-14 21:00:00+00:00,82.39,0.54,FINAL,555.13,0.0,14,False,0.641,0.078
1,1000145,1,CAD_CHF,sell,0.72,2016-06-10 12:15:00+00:00,0.75465,0.7769016536579706,0.022252,2016-06-10 19:30:00+00:00,0.75569,-0.05,PARTIAL/TP,-74.88,0.0,10,False,,
1,1000145,2,CAD_CHF,sell,1.6700000000000002,2016-06-10 12:15:00+00:00,0.75465,0.7769016536579706,0.022252,2016-06-12 21:00:00+00:00,0.75537,-0.03,FINAL,-120.24,0.0,12,False,0.037,0.231
1,1000146,1,CHF_JPY,sell,0.89,2016-06-10 00:00:00+00:00,110.859,112.89148139188698,2.032481,2016-06-10 19:30:00+00:00,110.764,0.05,PARTIAL/TP,84.55,0.0,10,False,,
1,1000146,2,CHF_JPY,sell,1.03,2016-06-10 00:00:00+00:00,110.859,112.89148139188698,2.032481,2016-06-12 21:00:00+00:00,110.699,0.08,PARTIAL/TP,164.8,0.0,12,False,,
1,1000146,3,CHF_JPY,sell,0.52,2016-06-10 00:00:00+00:00,110.859,112.89148139188698,2.032481,2016-06-13 21:00:00+00:00,110.14,0.35,PARTIAL/TP,373.88,0.0,13,False,,
1,1000146,4,CHF_JPY,sell,0.51,2016-06-10 00:00:00+00:00,110.859,112.89148139188698,2.032481,2016-06-14 08:30:00+00:00,109.53788709527345,0.65,FINAL,673.77,0.0,14,False,0.703,0.256
1,1000147,1,EUR_USD,buy,0.64,2016-06-13 14:15:00+00:00,1.12927,1.1092188199090744,0.020051,2016-06-13 21:00:00+00:00,1.12924,-0.0,FINAL,-1.92,0.0,13,False,0.051,0.078
1,1000157,1,AUD_CAD,buy,0.59,2016-06-13 02:30:00+00:00,0.9450435,0.9310690282360282,0.013974,2016-06-13 21:00:00+00:00,0.9475,0.18,PARTIAL/TP,144.93,0.0,13,False,,
1,1000157,2,AUD_CAD,buy,0.29,2016-06-13 02:30:00+00:00,0.9450435,0.9310690282360282,0.013974,2016-06-14 21:00:00+00:00,0.94582,0.06,PARTIAL/TP,22.52,0.0,14,False,,
