ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial
1000660,EUR_USD,buy,0.09,1.12462,1.11946,2015-08-27 12:45:00+00:00,2015-09-10 07:15:00+00:00,-46.44000000000048,0.0,1.0967716346253407,0,
1000673,GBP_NZD,buy,0.049999999999999996,2.38158,2.43874,2015-08-27 13:45:00+00:00,2015-09-10 07:15:00+00:00,285.8000000000004,0.0,2.39259134387816,0,
1000671,GBP_AUD,buy,0.07,2.14939,2.17861,2015-08-27 15:00:00+00:00,2015-09-10 07:15:00+00:00,204.5400000000002,0.0,2.159070268840247,0,
1000688,EUR_NZD,buy,0.04,1.73247,1.77853,2015-08-28 00:00:00+00:00,2015-09-10 07:15:00+00:00,184.23999999999992,0.0,1.7450779004069923,0,
1000687,EUR_CAD,buy,0.039999999999999994,1.47674,1.47928,2015-08-28 16:30:00+00:00,2015-09-10 07:15:00+00:00,10.159999999999945,0.0,1.4207485066176702,0,
1000691,USD_CAD,buy,0.03,1.31404,1.32138,2015-08-31 20:00:00+00:00,2015-09-10 07:15:00+00:00,22.019999999999705,0.0,1.2917001392671865,0,
1000733,GBP_JPY,sell,0.15,184.465,185.714,2015-09-08 07:45:00+00:00,2015-09-10 07:15:00+00:00,-187.34999999999928,0.0,187.5584374939256,0,
1000743,NZD_USD,sell,0.12000000000000001,0.63942,0.62945,2015-09-09 01:00:00+00:00,2015-09-10 07:15:00+00:00,119.64000000000041,0.0,0.6369290558112678,0,
1000752,CAD_JPY,sell,0.28,91.29768,91.554,2015-09-09 02:15:00+00:00,2015-09-10 07:15:00+00:00,-71.76960000000065,0.0,93.03189428571429,0,
1000741,USD_JPY,sell,0.26,120.507,120.983,2015-09-09 05:45:00+00:00,2015-09-10 07:15:00+00:00,-123.75999999999976,0.0,122.34219793265635,0,
1000745,EUR_JPY,sell,0.28,135.056,135.434,2015-09-09 14:00:00+00:00,2015-09-10 07:15:00+00:00,-105.83999999999607,0.0,137.52052303833906,0,
1000748,AUD_JPY,sell,0.18,85.462708,85.244,2015-09-09 14:00:00+00:00,2015-09-10 07:15:00+00:00,39.36744000000118,0.0,88.05423750969516,0,
1000754_partial_1441999800,AUD_USD,sell,0.23,0.70912,0.70834,2015-09-11 16:45:00+00:00,2015-09-11 19:30:00+00:00,17.940000000000065,0.0,0.7211198472891754,0,True
1000754,AUD_USD,sell,0.53,0.70912,0.7211698472891754,2015-09-11 16:45:00+00:00,2015-09-17 18:00:00+00:00,-638.6419063262996,0.0,0.7211198472891754,0,
1000772,AUD_CAD,sell,0.36,0.94057,0.95052,2015-09-14 01:00:00+00:00,2015-09-18 19:30:00+00:00,-358.2000000000005,0.0,0.9561321041159869,0,
1000765,AUD_CAD,sell,0.53,0.9387906,0.95052,2015-09-14 03:45:00+00:00,2015-09-18 19:30:00+00:00,-621.6582000000001,0.0,0.9562155252505593,0,
1000792_partial_1443085200,AUD_CAD,sell,0.05,0.94095,0.9275187906599595,2015-09-22 10:00:00+00:00,2015-09-24 09:00:00+00:00,67.15604670020247,0.0,0.9559791214889338,0,True
1000790,GBP_USD,buy,0.24,1.53225712,1.51933,2015-09-23 07:15:00+00:00,2015-09-25 19:30:00+00:00,-310.2508799999963,0.0,1.5110690100275923,0,
1000791_partial_1443209400,AUD_USD,sell,0.01,0.70891,0.703,2015-09-22 10:30:00+00:00,2015-09-25 19:30:00+00:00,5.910000000000082,0.0,0.731670221970667,0,True
1000787_partial_1443209400,GBP_CAD,buy,0.07,2.02398944,2.02392,2015-09-23 11:15:00+00:00,2015-09-25 19:30:00+00:00,-0.4860799999990562,0.0,2.0007201188112846,0,True
1000788_partial_1443209400,AUD_NZD,buy,0.13,1.10706964,1.10128,2015-09-24 07:30:00+00:00,2015-09-25 19:30:00+00:00,-75.26531999999908,0.0,1.088736378175811,0,True
1000792,AUD_CAD,sell,0.45,0.94095,0.9380541757022132,2015-09-22 10:00:00+00:00,2015-09-29 12:45:00+00:00,130.3120934004054,0.0,0.9380041757022132,0,
1000787,GBP_CAD,buy,0.18,2.02398944,2.00021,2015-09-23 11:15:00+00:00,2015-10-02 19:30:00+00:00,-428.0299199999956,0.0,2.0007201188112846,0,
1000788,AUD_NZD,buy,0.29,1.10706964,1.09316,2015-09-24 07:30:00+00:00,2015-10-02 19:30:00+00:00,-403.3795600000016,0.0,1.088736378175811,0,
1000805,EUR_AUD,buy,0.09,1.57964,1.5479965419331119,2015-10-05 16:00:00+00:00,2015-10-09 06:00:00+00:00,-284.7911226019926,0.0,1.548046541933112,0,
1000791,AUD_USD,sell,0.01,0.70891,0.731720221970667,2015-09-22 10:30:00+00:00,2015-10-09 09:15:00+00:00,-22.810221970666955,0.0,0.731670221970667,0,
1000811_partial_1444419000,NZD_CAD,sell,0.11,0.86393424,0.86646,2015-10-07 14:45:00+00:00,2015-10-09 19:30:00+00:00,-27.783360000000478,0.0,0.8870623438624766,0,True
1000812_partial_1444419000,AUD_CAD,sell,0.07,0.94276656,0.94827,2015-10-08 18:00:00+00:00,2015-10-09 19:30:00+00:00,-38.5240799999994,0.0,0.9563406004595065,0,True
1000812,AUD_CAD,sell,0.18,0.94276656,0.9563906004595065,2015-10-08 18:00:00+00:00,2015-10-12 15:45:00+00:00,-245.23272827111683,0.0,0.9563406004595065,0,
1000811,NZD_CAD,sell,0.25,0.86393424,0.8871123438624766,2015-10-07 14:45:00+00:00,2015-10-15 07:30:00+00:00,-579.4525965619163,0.0,0.8870623438624766,0,
1000825_partial_1445023800,AUD_CAD,sell,0.08,0.94451,0.939,2015-10-13 20:00:00+00:00,2015-10-16 19:30:00+00:00,44.08000000000012,0.0,0.9564695272985001,0,True
1000825,AUD_CAD,sell,0.19,0.94451,0.9506,2015-10-13 20:00:00+00:00,2015-10-23 19:30:00+00:00,-115.71000000000076,0.0,0.9564695272985001,0,
1000785_partial_1445628600,EUR_GBP,buy,0.11,0.71983296,0.71846,2015-09-22 06:15:00+00:00,2015-10-23 19:30:00+00:00,-15.102559999999764,0.0,0.7050072968908975,0,True
1000844_partial_1445628600,GBP_CAD,sell,0.01,2.0290948,2.01882,2015-10-22 08:00:00+00:00,2015-10-23 19:30:00+00:00,10.274800000000361,0.0,2.0653242414240016,0,True
1000857_partial_1446045300,AUD_CAD,sell,0.01,0.9484640799999999,0.9386957385161541,2015-10-28 00:30:00+00:00,2015-10-28 15:15:00+00:00,9.768341483845866,0.0,0.9594233483153842,0,True
