symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl,tp1_hit,tp2_hit,tp3_hit
XAU_USD,bullish,2024-07-22T00:00:00+00:00,2407.935,2024-07-24T18:00:00+00:00,2407.935,0.11,1114.7182803687645,0.44,0.20960528143500576,233.65083887744052,True,False,False
ETH_USD,bullish,2024-07-24T00:00:00+00:00,3482.15185546875,2024-07-25T00:00:00+00:00,3432.822609055734,0.01,1119.2959320728717,0.04,0.5161705250609177,577.7475689566033,True,True,False
XAG_USD,bullish,2024-07-19T00:00:00+00:00,29.6965,2024-07-25T01:00:00+00:00,28.309917984383045,0.01,1112.1032426035513,0.04,-0.9938101047961895,-1105.2194400760175,False,False,False
ETH_USD,bearish,2024-07-26T00:00:00+00:00,3174.051025390625,2024-07-29T00:00:00+00:00,3174.051025390625,0.01,1103.1421396945202,0.04,0.2099637399401576,231.61984933584924,True,False,False
XAG_USD,bearish,2024-07-26T00:00:00+00:00,27.8465,2024-07-29T00:00:00+00:00,28.085137006216648,0.01,1103.1421396945202,0.04,0.5193617933123592,572.9298799501792,True,True,False
BTC_USD,bullish,2024-07-29T00:00:00+00:00,68862.215953125,2024-07-30T00:00:00+00:00,66481.98724012036,0.47,1110.8861975151756,0.0,-1.0,-1110.8861975151756,False,False,False
NAS100_USD,bearish,2024-07-30T00:00:00+00:00,17424.099609375,2024-07-30T00:00:00+00:00,18413.215027054866,0.33,1110.3830872580943,0.0,0.13452079187350938,149.3696121809109,True,True,True
XAG_USD,bearish,2024-07-30T00:00:00+00:00,27.80335,2024-07-30T14:00:00+00:00,28.11569121050186,0.01,1110.3830872580943,0.04,0.502599747560052,558.0782593508694,True,True,False
ETH_USD,bullish,2024-07-30T00:00:00+00:00,3320.63525390625,2024-07-31T00:00:00+00:00,3320.63525390625,0.01,1110.3830872580943,0.04,0.20996397639656167,233.14044832419978,True,False,False
NAS100_USD,bearish,2024-07-31T00:00:00+00:00,17499.23046875,2024-07-31T00:00:00+00:00,18395.055780649185,0.34,1108.8507663591615,0.0,0.18004756719205472,199.6458828620125,True,True,True
XAG_USD,bearish,2024-07-31T00:00:00+00:00,28.3955,2024-07-31T01:00:00+00:00,28.3955,0.01,1108.8507663591615,0.04,0.20996392661554328,232.8186609354239,True,False,False
BTC_USD,bullish,2024-07-31T00:00:00+00:00,66201.2734375,2024-08-01T00:00:00+00:00,66201.2734375,0.1,1108.8507663591615,0.0,0.21,232.8586609354239,True,False,False
NAS100_USD,bearish,2024-08-01T00:00:00+00:00,17647.029296875,2024-08-01T00:00:00+00:00,18364.5147471041,0.35,1116.9430784998765,0.0,0.2634999375100825,294.3144313870366,True,True,True
XAU_USD,bullish,2024-07-25T00:00:00+00:00,2397.155,2024-08-01T02:00:00+00:00,2448.6433296746864,0.13,1113.6313746661285,0.52,0.8433596100049496,939.191721827702,True,True,False
XAG_USD,bearish,2024-08-01T00:00:00+00:00,29.043,2024-08-01T12:00:00+00:00,29.043,0.01,1116.9430784998765,0.04,0.2099641879691365,234.51804648497404,True,False,False
ETH_USD,bearish,2024-08-01T00:00:00+00:00,3231.248779296875,2024-08-02T00:00:00+00:00,3159.4136699125816,0.01,1116.9430784998765,0.04,0.7047508228457929,787.166553644701,True,True,False
NAS100_USD,bearish,2024-08-02T00:00:00+00:00,16780.44921875,2024-08-02T00:00:00+00:00,18330.64386730267,0.28,1133.7804509917594,0.0,-0.07881105667976425,-89.35443538552022,True,True,True
XAG_USD,bearish,2024-08-02T00:00:00+00:00,28.4675,2024-08-02T01:00:00+00:00,28.4675,0.01,1133.7804509917594,0.04,0.20996471980094114,238.05389470826944,True,False,False
XAU_USD,bullish,2024-08-02T00:00:00+00:00,2449.09,2024-08-02T05:00:00+00:00,2465.73542663442,0.1,1133.7804509917594,0.4,0.7061837873366363,800.6573728896002,True,True,True
BTC_USD,bullish,2024-08-02T00:00:00+00:00,65353.5,2024-08-05T00:00:00+00:00,65353.5,0.11,1133.7804509917594,0.0,0.20999999999999996,238.09389470826943,True,False,False
ETH_USD,bearish,2024-08-05T00:00:00+00:00,2686.027587890625,2024-08-05T00:00:00+00:00,2435.4938440368924,0.01,1145.8220885241433,0.04,0.8427659587833881,965.6598510302338,True,True,True
NAS100_USD,bearish,2024-08-05T00:00:00+00:00,15712.5302734375,2024-08-05T00:00:00+00:00,17894.975384247522,0.25,1145.8220885241433,0.0,-0.38131911011790687,-436.92385914946783,True,True,True
XAG_USD,bearish,2024-08-05T00:00:00+00:00,28.16515,2024-08-05T01:00:00+00:00,28.16515,0.01,1145.8220885241433,0.04,0.20996509056650187,240.58263859007008,True,False,False
XAU_USD,bullish,2024-08-05T00:00:00+00:00,2422.235,2024-08-05T01:00:00+00:00,2428.6162413649226,0.13,1145.8220885241433,0.52,0.6204964820786261,710.978575017215,True,True,False
