date,day_start_equity,day_end_equity,day_low_equity,day_high_equity,realized_pnl,floating_pnl,max_ddd_pct,tdd_pct,ddd_halt_triggered
2023-01-19,32200.337342845978,33310.10758154763,31956.98788284548,33346.88903867307,849.1648959584381,260.60534274321253,0.7557357471429261,0,False
2023-01-20,33310.10758154763,33863.84958504893,33234.82815386853,34074.97718236441,455.98735677339573,97.75464672790258,0.22599575067357966,0,False
2023-01-21,33863.84958504893,33841.96482667519,33863.84958504893,33863.84958504893,-97.75464672790258,75.8698883541656,0.0,0,False
2023-01-22,33841.96482667519,34389.63436465967,33841.96482667519,33841.96482667519,-75.8698883541656,623.5394263386479,0.0,0,False
2023-01-23,34389.63436465967,34572.35929854104,33989.74102395423,34949.58458969204,514.0665424115505,-331.34160853017966,1.1628310335174459,0,False
2023-01-24,34572.35929854104,36007.345496609305,34344.38302257409,35782.77866223166,1572.6851920277186,-137.69899395945686,0.6594177562437125,0,False
2023-01-25,36007.345496609305,37562.00751303044,35569.05226100322,37452.77453335426,1007.0651752912745,547.59684112986,1.2172328439133544,0,False
2023-01-26,37562.00751303044,38285.34988759985,37419.679946728254,38346.52429357495,585.2484680645575,138.09390650485147,0.3789136303559146,0,False
2023-01-27,38285.34988759985,39011.4913774385,38025.849436967954,39038.78952496284,714.2786358389494,11.862853999700746,0.6778061357510112,0,False
2023-01-28,39011.4913774385,39009.88766961868,39011.4913774385,39011.4913774385,-11.862853999700746,10.25914617988019,0.0,0,False
2023-01-29,39009.88766961868,38801.486031948174,39009.88766961868,39009.88766961868,-10.25914617988019,-198.1424914906238,0.0,0,False
2023-01-30,38801.486031948174,39306.06674823829,38623.96317016584,39773.48291176008,1095.021918464583,-590.4412021744647,0.45751562616999397,0,False
2023-01-31,39306.06674823829,40940.80663822982,39183.096807222806,40830.137106765724,1613.3017582325192,21.438131759008684,0.3128523182009754,0,False
2023-02-01,40940.80663822982,43469.035534410985,40683.346587164866,43150.92621388389,1406.5943846234804,1121.6345115576842,0.6288592536536458,0,False
2023-02-02,43469.035534410985,44296.62053527903,43274.22293616354,44708.04734648601,586.4690613707426,241.11593949730013,0.4481640686350797,0,False
2023-02-03,44296.62053527903,45368.77040513491,44156.120774384326,45566.265057633966,1074.241165598105,-2.091295742226066,0.3171794127789131,0,False
2023-02-04,45368.77040513491,45358.4395138362,45368.77040513491,45368.77040513491,2.091295742226066,-12.422187040931021,0.0,0,False
2023-02-05,45358.4395138362,44793.825907805396,45358.4395138362,45358.4395138362,12.422187040931021,-577.0357930717364,0.0,0,False
2023-02-06,44793.825907805396,46052.53518659,44637.15375698457,46355.08278913643,1561.2896847232405,-302.5804059386355,0.34976282477699233,0,False
2023-02-07,46052.53518659,47439.9577148068,45964.03874469058,47236.98536784075,1347.303848730371,40.11867948642612,0.1921641046271643,0,False
2023-02-08,47439.9577148068,48674.27095539639,47086.117772619225,48540.106522034526,1345.754214970053,-111.44097438046447,0.7458690083889632,0,False
2023-02-09,48674.27095539639,48901.42565396236,48059.839913355725,49580.44420722128,1122.5803375595642,-895.4256389935908,1.2623322958523768,0,False
2023-02-10,48901.42565396236,51056.77764591891,48592.29422762106,50532.768351067316,2319.9592365248172,-164.60724456826574,0.6321521759483762,0,False
2023-02-11,51056.77764591891,51076.61674252316,51056.77764591891,51056.77764591891,164.60724456826574,-144.76814796401595,0.0,0,False
2023-02-12,51076.61674252316,49653.18844237973,51076.61674252316,51076.61674252316,144.76814796401595,-1568.1964481074465,0.0,0,False
2023-02-13,49653.18844237973,51067.85420244545,49469.152303463285,51177.709592964704,1980.2556750773292,-565.5899150116093,0.3706431443572087,0,False
2023-02-14,51067.85420244545,51886.66056520793,50751.93842818182,52136.2064986133,1312.394915011595,-493.5885522491153,0.6186196369466855,0,False
2023-02-15,51886.66056520793,52267.81825754238,51746.749462150576,52599.57612004651,617.3870806405903,-236.22938830614294,0.2696475385644126,0,False
2023-02-16,52267.81825754238,53219.113155808525,51634.163548392164,53203.53893471867,849.873339253616,101.42155901253136,1.2123228599823495,0,False
2023-02-17,53219.113155808525,53647.731658640965,52964.10566341418,54114.476638508175,318.78726096087485,109.831241871565,0.4791652420959484,0,False
2023-02-18,53647.731658640965,53641.55732853364,53647.731658640965,53647.731658640965,-109.831241871565,103.65691176424298,0.0,0,False
2023-02-19,53641.55732853364,54231.401538568236,53641.55732853364,53641.55732853364,-103.65691176424298,693.5011217988358,0.0,0,False
2023-02-20,54231.401538568236,55786.93073917098,54017.589360798745,55837.939602659724,989.2378943298827,566.2913062728621,0.39425899332037695,0,False
2023-02-21,55786.93073917098,56481.36654579208,55321.92726697689,56562.661510636884,-88.80410313681932,783.2399097579182,0.8335347832061074,0,False
2023-02-22,56481.36654579208,57070.24070378856,55935.62330508459,57444.593022653,388.9336429170362,199.94051507944096,0.9662359005868404,0,False
2023-02-23,57070.24070378856,57997.10526524106,56933.963822227786,58775.60307751184,1385.5435265378183,-458.67896508531703,0.23878799157005123,0,False
2023-02-24,57997.10526524106,59855.634007174674,57575.87028668264,60335.80601832659,1858.5287419336164,0.0,0.7263034536499031,0,False
2023-02-25,59855.634007174674,59855.634007174674,59855.634007174674,59855.634007174674,0.0,0.0,0.0,0,False
2023-02-26,59855.634007174674,59785.11425224871,59855.634007174674,59855.634007174674,0.0,-70.51975492596102,0.0,0,False
2023-02-27,59785.11425224871,61439.68657231858,59607.82044488055,61715.328753022746,1052.6659450421575,601.9063750277055,0.2965517580515399,0,False
2023-02-28,61439.68657231858,62015.35242970776,61181.4594849781,62423.81035176374,928.3079463922113,-352.64208900302765,0.42029362737149933,0,False
2023-03-01,62015.35242970776,63847.521803872434,61739.788879542895,64383.24239329671,1655.7867674711815,176.38260669349256,0.444347309768507,0,False
2023-03-02,63847.521803872434,64400.94152850334,63613.17617155618,65064.1268089413,694.2924933065151,-140.87276867561013,0.36703951178578126,0,False
2023-03-03,64400.94152850334,65323.74018651651,64076.520569135355,65598.37413343262,1112.4472686756053,-189.6486106624361,0.5037518888204425,0,False
2023-03-04,65323.74018651651,65322.24519861725,65323.74018651651,65323.74018651651,189.6486106624361,-191.14359856169176,0.0,0,False
2023-03-05,65322.24519861725,65256.69870808507,65322.24519861725,65322.24519861725,191.14359856169176,-256.69008909387776,0.0,0,False
2023-03-06,65256.69870808507,67305.7825011301,65094.79535203553,67452.21152651857,1948.9434564667608,100.14033657827531,0.24810227801100518,0,False
2023-03-07,67305.7825011301,70401.48759719181,67086.93239119639,70690.07999339237,1692.1047850994073,1403.600310962298,0.32515796087808774,0,False
2023-03-08,70401.48759719181,71584.47711885555,70055.64703742207,72442.21815588341,819.1963326809928,363.79318898274505,0.491240414902166,0,False
2023-03-09,71584.47711885555,72386.77558794986,70761.36939046207,72840.71894017149,415.1256620842614,387.17280701005075,1.14984108499783,0,False
2023-03-10,72386.77558794986,73048.04338509165,72072.06638703587,74655.93823826734,661.267797141787,0.0,0.43476062907598,0,False
2023-03-11,73048.04338509165,73048.04338509165,73048.04338509165,73048.04338509165,0.0,0.0,0.0,0,False
2023-03-12,73048.04338509165,73602.08844640524,73048.04338509165,73048.04338509165,0.0,554.0450613135908,0.0,0,False
2023-03-13,73602.08844640524,76444.76883207995,73478.3747539848,76887.05670633564,2602.3047508538293,240.37563482088444,0.16808448650274813,0,False
2023-03-14,76444.76883207995,79909.39292729423,76256.70359018342,80225.74336172816,3358.4694632799947,106.15463193428877,0.24601453411369528,0,False
2023-03-15,79909.39292729423,80945.84645919781,79648.87564904049,81934.43794677994,988.7303178584261,47.72321404515242,0.32601583957817504,0,False
2023-03-16,80945.84645919781,83228.59652279266,80556.92146059542,84062.87691890617,2645.8863306285057,-363.136267033653,0.4804755470664426,0,False
2023-03-17,83228.59652279266,85852.6438269005,82945.72777949543,84485.76767977624,2464.185339201693,159.86196490614384,0.3398696543198,0,False
2023-03-18,85852.6438269005,85816.97121468438,85852.6438269005,85852.6438269005,-159.86196490614384,124.18935269002395,0.0,0,False
2023-03-19,85816.97121468438,84183.52557008353,85816.97121468438,85816.97121468438,-124.18935269002395,-1509.2562919108314,0.0,0,False
2023-03-20,84183.52557008353,86884.98801562392,83725.52716878528,87682.23494668388,4069.6820191817387,-1368.2195736413414,0.5440475416023747,0,False
2023-03-21,86884.98801562392,92390.98603110992,86288.20120962479,93421.73964708328,5289.838108731739,216.15990675425564,0.6868698720333766,0,False
2023-03-22,92390.98603110992,94925.15604771145,92064.27583761301,96598.81518343875,1761.932480093892,772.2375365076441,0.3536169571638737,0,False
2023-03-23,94925.15604771145,98188.66667815585,94424.13639358454,99221.30657395384,2304.5841243616014,958.9265060827893,0.5278049307341536,0,False
2023-03-24,98188.66667815585,100331.31964449187,97817.63691654136,100926.9270525845,2182.431991603269,-39.779025267242105,0.37787432518118214,0,False
2023-03-25,100331.31964449187,100331.70877380857,100331.31964449187,100331.31964449187,39.779025267242105,-39.389895950545906,0.0,0,False
2023-03-26,100331.70877380857,100379.38641031866,100331.70877380857,100331.70877380857,39.389895950545906,8.287740559550002,0.0,0,False
2023-03-27,100379.38641031866,101371.70682451394,99966.4256088492,103243.85226397896,1630.9878748342016,-638.6674606389279,0.4114000057555808,0,False
2023-03-28,101371.70682451394,102635.11373404217,101111.88044002399,104244.47022902711,2715.51372706861,-1452.106817540378,0.25631055511350687,0,False
2023-03-29,102635.11373404217,104631.46179207822,102157.89455722009,106087.64593680677,3446.3901599511883,-1450.04210191514,0.4649667735144676,0,False
2023-03-30,104631.46179207822,104881.46484900032,104231.97692555712,107196.07133397061,2408.502601915141,-2158.499544993043,0.381801859286791,0,False
