trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
71,True,-1000000000.0,,,,0,0,1.5,0.9500000000000001,4.0,5.0,3.0,3.0,0.2,4.0,0.2,5.5,0.2,3.5,,,,,
69,True,-997000000.0,,,,3,3,1.5,1.0,4.5,4.5,2.75,3.5,0.2,4.5,0.2,5.5,0.2,3.5,271062,66963,359109,,
68,False,39825.0,69593,300285,9.22,5,,1.4,1.6,5.0,5.0,3.0,4.0,0.25,5.0,0.25,6.0,0.2,3.0,614362,69593,192749,81470,543252
70,False,19163.0,26363,156696,8.6,5,,1.4500000000000002,0.9500000000000001,3.5,4.5,3.0,3.5,0.25,4.5,0.2,5.5,0.2,4.0,359331,26363,140442,145135,112209
73,True,-997000000.0,,,,3,3,1.2000000000000002,1.35,4.5,5.0,3.0,3.0,0.30000000000000004,4.5,0.25,6.0,0.25,3.5,278879,107422,229478,,
72,False,45263.0,45263,49180,5.68,5,,1.25,0.9,2.5,2.5,3.25,3.0,0.5,4.5,0.30000000000000004,6.0,0.25,3.0,51157,52110,49609,45263,47762
75,True,-999000000.0,,,,1,1,0.95,0.5,3.0,4.5,2.5,4.0,0.65,5.0,0.30000000000000004,6.0,0.25,4.5,179166,,,,
74,False,7499.0,15949,55848,8.65,5,,1.35,1.4,3.0,3.0,3.5,3.0,0.45,3.5,0.30000000000000004,4.0,0.25,3.0,110028,31842,78375,15949,43047
77,True,-999000000.0,,,,1,1,1.1,1.05,4.5,3.5,2.75,3.0,0.2,3.5,0.2,4.0,0.1,2.5,67142,,,,
79,True,-999000000.0,,,,1,1,1.15,0.7000000000000001,4.5,4.5,3.0,4.0,0.65,6.5,0.6,7.5,0.4,5.0,384547,,,,
80,True,-998000000.0,,,,2,2,0.95,0.7000000000000001,4.5,5.0,2.0,5.5,0.75,6.0,0.6,7.5,0.4,5.0,153236,98614,,,
76,False,25456.0,25456,113282,7.99,5,,1.15,1.2000000000000002,4.0,3.5,3.0,3.5,0.30000000000000004,4.5,0.25,6.0,0.1,2.5,198230,38682,237242,66802,25456
78,False,70939.0,70939,147197,5.33,5,,0.9,0.55,3.5,5.0,3.0,4.5,0.75,5.5,0.6,8.5,0.4,5.0,195114,70939,236237,78003,155694
81,True,-996000000.0,,,,4,4,1.0,0.5,4.0,5.0,2.75,5.0,0.6000000000000001,6.0,0.6,8.5,0.4,4.5,226190,45646,229435,142376,
82,False,-10584.0,35624,102527,9.52,5,,1.3,1.35,3.5,4.0,3.25,3.0,0.25,5.0,0.25,8.5,0.25,3.5,177053,35624,109712,42039,148207
83,False,29679.0,29679,163420,5.88,5,,1.15,0.4,5.0,4.0,2.75,5.0,0.75,6.0,0.6,8.5,0.4,5.0,293226,34440,153103,29679,306654
86,True,-1000000000.0,,,,0,0,0.9,0.4,2.5,5.0,3.25,4.0,0.7,5.0,0.4,9.0,0.35,5.0,,,,,
84,False,27045.0,27045,79394,6.62,5,,0.6,0.45,3.0,4.5,3.5,4.5,0.5,5.5,0.4,9.0,0.4,4.5,149198,27045,110194,31634,78898
88,True,-1000000000.0,,,,0,0,1.5,0.5,3.5,3.5,3.25,3.0,0.55,5.5,0.5,8.5,0.4,3.5,,,,,
85,False,3240.0,24458,96028,9.03,5,,0.8,0.65,3.5,5.0,3.0,6.0,0.75,7.0,0.5,8.5,0.35,5.0,195971,24458,113889,72268,73552
90,True,-998000000.0,,,,2,2,1.1,0.55,3.5,5.0,3.5,5.0,0.8,7.5,0.6,8.5,0.4,4.0,231920,73131,,,
87,False,8090.0,47852,98792,9.41,5,,0.9,0.45,4.0,4.5,2.0,3.0,0.75,4.5,0.4,9.0,0.35,4.0,106779,48429,178744,47852,112158
93,True,-1000000000.0,,,,0,0,1.4500000000000002,0.9500000000000001,4.0,5.0,2.5,3.0,0.45,5.5,0.45,6.5,0.4,4.5,,,,,
89,False,6399.0,29297,141152,9.07,5,,0.95,0.75,3.0,5.0,2.75,4.5,0.7,5.5,0.6,6.5,0.4,5.0,228453,47959,291250,29297,108800
91,False,15150.0,42998,84216,9.18,5,,0.95,0.4,4.0,4.0,2.25,4.0,0.75,5.0,0.6,7.5,0.4,5.0,106221,74991,144652,42998,52216
95,True,-998000000.0,,,,2,2,1.3,0.4,3.0,4.5,2.75,3.5,0.7,5.0,0.6,7.5,0.15000000000000002,4.0,221879,100868,,,
92,False,51153.0,51153,90276,7.92,5,,1.05,0.4,3.5,4.0,2.25,3.5,0.8,5.0,0.6,7.5,0.35,4.0,108421,72467,145270,74070,51153
94,False,32432.0,32432,115656,7.41,5,,0.8,0.5,3.5,5.0,2.5,4.0,0.75,5.0,0.6,7.5,0.15000000000000002,5.0,230273,49128,191093,32432,75355
98,True,-999000000.0,,,,1,1,1.5,1.0,3.5,3.5,2.75,3.5,0.45,5.0,0.45,7.5,0.30000000000000004,3.5,227238,,,,
97,True,-997000000.0,,,,3,3,1.5,1.35,4.5,4.0,2.25,3.0,0.4,4.0,0.35,5.0,0.30000000000000004,3.0,383401,27532,546723,,
96,True,-996000000.0,,,,4,4,1.4500000000000002,1.6,2.5,5.0,2.5,3.5,0.6000000000000001,5.0,0.55,8.0,0.15000000000000002,5.0,535554,210104,368341,194778,
99,True,-997000000.0,,,,3,3,0.8,0.8,3.0,3.5,2.5,3.0,0.75,4.5,0.55,7.5,0.30000000000000004,3.5,50211,80853,52487,,
100,False,33522.0,33522,62762,7.11,5,,0.75,0.55,3.0,4.0,2.25,4.0,0.7,5.0,0.55,8.0,0.35,3.5,78497,33522,80236,44816,76740
101,True,-996000000.0,,,,4,4,1.15,1.0,4.0,4.0,2.75,5.0,0.8,6.0,0.55,8.0,0.35,4.5,225210,75995,234714,25584,
102,False,39062.0,39062,150369,7.68,5,,1.15,0.5,3.0,4.0,2.5,4.0,0.8,5.5,0.55,8.0,0.35,4.0,181010,39062,189398,50162,292215
104,True,-997000000.0,,,,3,3,1.1,0.4,2.5,4.0,2.25,5.0,0.30000000000000004,6.0,0.25,8.0,0.1,4.0,133723,77210,115793,,
103,False,14731.0,25389,62626,8.73,5,,1.05,0.45,4.5,3.0,1.75,3.0,0.5,6.0,0.5,8.0,0.35,3.5,73455,25389,105279,35066,73940
105,True,-998000000.0,,,,2,2,1.15,0.6000000000000001,2.5,4.0,2.25,3.0,0.8,5.5,0.6,6.5,0.35,4.5,112442,70315,,,
106,False,-9852.0,10148,56033,9.0,5,,1.35,0.9500000000000001,2.5,3.0,2.0,4.5,0.45,5.5,0.4,6.5,0.1,4.5,36234,48783,108024,10148,76975
107,False,33033.0,33033,89419,5.68,5,,1.1,0.5,4.0,3.5,2.25,3.0,0.55,4.5,0.5,7.0,0.35,3.0,71354,33033,144128,45985,152595
108,False,77393.0,77393,180336,6.09,5,,1.15,0.65,5.0,4.5,1.5,3.5,0.45,4.5,0.4,6.5,0.30000000000000004,2.5,236671,107950,194250,77393,285415
109,False,25463.0,25463,82116,7.49,5,,0.95,0.4,4.5,4.5,1.5,3.0,0.6000000000000001,4.0,0.6,6.5,0.30000000000000004,2.0,196583,33842,77255,25463,77435
110,True,-997000000.0,,,,3,3,1.4,1.1,3.0,4.0,3.25,4.5,0.55,5.5,0.5,6.5,0.30000000000000004,4.0,286227,35369,454253,,
113,True,-998000000.0,,,,2,2,0.95,0.4,4.0,3.0,2.0,3.5,0.7,4.5,0.35,5.5,0.30000000000000004,4.0,79220,31543,,,
111,False,18802.0,18802,129807,7.87,5,,0.8500000000000001,0.45,5.0,4.5,1.5,3.0,0.6000000000000001,4.0,0.6,6.5,0.30000000000000004,3.5,180449,72706,182372,18802,194704
112,False,29421.0,29421,181901,6.41,5,,1.05,0.55,4.5,4.5,1.75,4.0,0.55,5.0,0.35,6.0,0.30000000000000004,2.0,303139,49536,237199,29421,290211
117,True,-999000000.0,,,,1,1,1.4,1.1,5.0,4.0,1.5,4.0,0.45,5.0,0.4,6.0,0.25,2.0,366547,,,,
114,False,20606.0,26438,120906,8.54,5,,1.15,0.75,5.0,4.0,1.5,4.0,0.65,5.0,0.35,6.0,0.30000000000000004,2.5,50105,189131,196186,26438,142671
115,False,-33669.0,11933,75234,9.51,5,,1.0,0.4,3.5,4.0,2.25,3.5,0.65,4.5,0.6,6.0,0.25,4.0,75213,30114,178317,11933,80594
116,True,-996000000.0,,,,4,4,0.95,1.7000000000000002,2.5,3.0,3.5,5.0,0.8,8.0,0.6,8.5,0.25,4.0,27970,73085,177356,45818,
118,True,-998000000.0,,,,2,2,1.35,0.45,5.0,4.5,2.0,4.0,0.5,5.0,0.45000000000000007,7.0,0.25,3.5,230782,81244,,,
119,False,-25494.0,11498,79701,9.36,5,,1.0,0.4,5.0,4.0,1.5,4.0,0.25,5.0,0.25,7.0,0.1,3.0,67158,30114,177918,11498,111819
123,True,-1000000000.0,,,,0,0,1.25,0.45,4.5,5.0,2.0,3.0,0.6000000000000001,3.5,0.55,4.5,0.30000000000000004,3.5,,,,,
121,False,17295.0,17295,66210,6.73,5,,0.8500000000000001,0.4,4.5,4.0,1.75,3.0,0.35000000000000003,4.0,0.25,7.0,0.1,3.0,117444,17295,103322,73164,19823
120,False,74776.0,74776,195600,7.1,5,,1.25,0.45,4.5,4.5,2.0,3.0,0.30000000000000004,3.5,0.25,7.0,0.1,2.5,233163,139505,304098,74776,226460
122,False,17209.0,42297,99066,9.12,5,,1.1,0.7000000000000001,4.5,4.0,1.5,3.5,0.4,4.5,0.25,7.0,0.25,4.0,68172,42297,226307,74089,84464
124,True,-999000000.0,,,,1,1,0.9,1.2000000000000002,5.0,4.5,2.25,4.0,0.45,5.0,0.4,6.0,0.35,2.5,296544,,,,
127,True,-1000000000.0,,,,0,0,1.25,1.05,4.5,5.0,1.75,3.5,0.30000000000000004,4.5,0.25,7.5,0.1,2.0,,,,,
