trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
19,True,-999000000.0,,,,1,1,0.7,1.5,4.0,5.0,3.25,4.0,0.65,5.0,0.6,5.5,0.35,3.5,31804,,,,
20,True,-997000000.0,,,,3,3,0.7,1.4,4.0,5.0,3.25,4.0,0.65,6.5,0.6,7.5,0.35,3.5,41936,32528,11440,,
17,False,19946.0,31804,59689,8.77,5,,0.7,1.5,4.0,5.0,3.5,4.0,0.30000000000000004,6.5,0.2,7.5,0.15000000000000002,2.0,31804,39135,106038,73514,47954
18,False,-15014.0,31804,59568,9.53,5,,0.7,1.5,4.0,5.0,1.5,4.0,0.6000000000000001,5.0,0.6,5.5,0.2,2.0,31804,38532,106038,73514,47954
21,False,4098.0,4436,39303,8.13,5,,0.65,1.3,4.0,4.5,1.75,4.5,0.35000000000000003,6.5,0.30000000000000004,7.5,0.2,3.0,81334,29027,30965,4436,50753
23,True,-998000000.0,,,,2,2,0.8500000000000001,1.25,3.5,4.5,3.25,4.0,0.35000000000000003,6.5,0.30000000000000004,7.0,0.2,2.0,98223,23339,,,
22,False,-27347.0,15871,33252,9.47,5,,0.6,0.45,2.0,4.5,1.75,4.5,0.35000000000000003,7.0,0.30000000000000004,9.0,0.2,2.0,63774,15871,52118,17044,17454
24,False,15516.0,16974,30572,8.27,5,,0.6,1.3,3.5,4.5,3.25,4.5,0.30000000000000004,6.5,0.2,7.5,0.15000000000000002,3.0,35264,33747,26521,16974,40352
26,False,10002.0,10002,29116,7.75,5,,0.6,1.65,3.5,5.0,3.5,4.5,0.25,7.0,0.2,8.0,0.15000000000000002,4.0,33335,33785,10002,16731,51728
25,False,35814.0,35814,68682,7.83,5,,0.8500000000000001,1.65,3.5,4.5,3.25,4.5,0.30000000000000004,7.0,0.2,8.0,0.15000000000000002,2.0,106397,46101,104344,35814,50755
27,False,10002.0,10002,29116,7.75,5,,0.6,1.65,3.5,5.0,3.5,4.5,0.25,7.0,0.2,8.0,0.15000000000000002,4.0,33335,33785,10002,16731,51728
28,True,-998000000.0,,,,2,2,0.9,1.6,4.5,5.0,3.5,6.0,0.2,7.0,0.15,8.0,0.1,4.0,193806,44781,,,
31,True,-999000000.0,,,,1,1,0.8500000000000001,1.5500000000000003,2.5,4.0,3.0,6.0,0.4,7.0,0.35,8.0,0.1,2.5,180315,,,,
30,True,-998000000.0,,,,2,2,0.8500000000000001,1.5500000000000003,2.5,4.0,3.0,3.5,0.4,5.5,0.35,6.5,0.1,2.5,179832,23990,,,
29,False,14918.0,25000,76054,8.71,5,,0.9,1.7000000000000002,4.5,5.0,3.0,6.0,0.25,7.0,0.15,8.0,0.1,2.5,177658,25000,79262,32556,65796
32,False,14782.0,15582,39493,8.2,5,,0.8500000000000001,1.1,2.5,4.0,3.0,3.5,0.5,5.5,0.35,6.5,0.1,2.5,78316,31005,15582,44794,27768
33,False,-34942.0,-1660,25741,9.29,5,,0.8,1.05,4.0,4.5,3.0,3.5,0.5,5.5,0.4,6.5,0.25,2.5,41946,31314,-1660,32839,24267
34,False,1449.0,1449,33193,7.72,5,,0.75,1.7000000000000002,4.0,4.5,2.25,4.0,0.25,6.0,0.15,7.0,0.15,2.0,48985,10331,9547,1449,95652
36,False,2323.0,2323,44246,7.01,5,,0.75,1.4,4.0,4.5,2.25,4.0,0.25,6.0,0.2,8.5,0.15000000000000002,2.0,131707,24419,30830,2323,31951
35,False,14122.0,16170,69940,8.32,5,,0.8,1.4,4.0,4.5,3.25,4.0,0.5,6.0,0.4,7.0,0.25,2.0,189118,16170,48549,49794,46069
