trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
17,False,15757.0,15957,43763,8.1,5,,1.1,0.4,3.0,3.0,2.5,5.0,0.65,6.0,0.35,8.0,0.30000000000000004,4.0,80066,23318,46017,15957,53456
18,True,-1000000000.0,,,,0,0,1.5,1.25,4.0,2.5,1.5,4.0,0.45,5.5,0.35,7.0,0.25,4.5,,,,,
19,False,-61046.0,2322,41272,9.78,5,,0.75,0.9500000000000001,3.0,3.5,2.25,5.5,0.30000000000000004,7.5,0.25,9.0,0.15000000000000002,3.5,107020,33311,49468,2322,14241
20,True,-996000000.0,,,,4,4,0.6,1.4,2.0,3.0,3.25,5.0,0.45,7.0,0.35,8.5,0.35,3.0,16456,9295,99817,2735,
21,True,-996000000.0,,,,4,4,1.0,0.9,4.0,4.5,2.5,4.0,0.65,5.0,0.4,5.5,0.25,2.0,51753,65266,46199,10796,
23,True,-1000000000.0,,,,0,0,1.15,1.35,5.0,4.0,2.0,4.0,0.30000000000000004,5.5,0.25,8.0,0.15000000000000002,5.0,,,,,
26,True,-999000000.0,,,,1,1,1.2000000000000002,0.55,5.0,4.0,1.75,4.0,0.30000000000000004,5.5,0.25,8.0,0.15000000000000002,5.0,78775,,,,
28,True,-1000000000.0,,,,0,0,1.1,0.4,3.0,3.0,2.5,5.0,0.7,6.0,0.35,7.5,0.30000000000000004,4.0,,,,,
25,False,49069.0,49069,107836,6.67,5,,1.15,0.55,2.5,4.0,2.0,4.0,0.30000000000000004,5.5,0.25,8.0,0.15000000000000002,5.0,106612,137062,100608,49069,145831
29,True,-999000000.0,,,,1,1,1.3,0.55,2.5,3.5,2.75,5.0,0.6000000000000001,6.0,0.55,8.0,0.35,4.0,47196,,,,
24,False,49069.0,49069,98866,7.81,5,,1.15,0.55,2.5,4.0,2.0,4.0,0.35000000000000003,5.5,0.25,8.0,0.15000000000000002,5.0,106612,137062,100679,49069,100909
27,True,-997000000.0,,,,3,3,0.8,0.55,2.5,3.5,2.75,6.0,0.5,8.0,0.15,9.0,0.1,2.5,76468,15402,66211,,
36,True,-999000000.0,,,,1,1,1.35,0.9,2.0,5.0,2.25,3.5,0.4,4.5,0.2,6.5,0.15000000000000002,4.5,96233,,,,
34,True,-998000000.0,,,,2,2,1.35,0.8,2.0,5.0,2.25,3.5,0.4,4.5,0.2,6.5,0.15000000000000002,4.5,177854,25043,,,
35,True,-999000000.0,,,,1,1,1.3,0.8500000000000001,2.0,5.0,2.25,3.5,0.4,4.5,0.2,7.0,0.15000000000000002,4.5,46427,,,,
38,True,-999000000.0,,,,1,1,1.5,0.65,2.5,4.5,2.0,3.5,0.25,4.5,0.2,7.5,0.15000000000000002,5.0,41715,,,,
37,False,-35146.0,-3394,62245,9.26,5,,1.35,0.8500000000000001,2.0,5.0,2.25,3.5,0.4,4.5,0.2,6.5,0.15000000000000002,4.5,51652,64107,66423,-3394,132439
41,True,-1000000000.0,,,,0,0,1.2000000000000002,1.05,3.0,4.0,2.5,5.5,0.45,7.0,0.25,8.5,0.2,5.0,,,,,
42,True,-999000000.0,,,,1,1,1.2000000000000002,0.5,3.0,4.0,1.75,4.5,0.35000000000000003,5.5,0.25,8.5,0.2,5.0,44403,,,,
43,True,-999000000.0,,,,1,1,0.95,0.5,3.0,3.5,1.75,4.5,0.35000000000000003,5.5,0.25,8.5,0.2,5.0,47269,,,,
40,True,-996000000.0,,,,4,4,1.2000000000000002,0.65,3.0,4.5,2.0,5.5,0.25,7.0,0.25,8.5,0.2,5.0,50786,104176,63613,30323,
39,False,9672.0,11720,62461,8.32,5,,1.25,0.65,2.5,4.5,2.0,3.0,0.25,3.5,0.2,4.5,0.15000000000000002,5.0,226919,23653,25450,24563,11720
47,True,-999000000.0,,,,1,1,0.8500000000000001,1.7000000000000002,3.5,4.0,1.5,4.0,0.5,5.0,0.30000000000000004,7.5,0.1,4.5,17202,,,,
44,False,-26600.0,23328,52487,9.58,5,,0.95,1.65,3.5,3.5,1.5,4.0,0.5,5.0,0.30000000000000004,8.0,0.25,5.0,65658,46629,23328,48142,78680
