trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
GBP_USD_431,GBP_USD,bearish,2023-08-23 21:00:00,2023-08-30 13:00:00,1.2723865200000002,1.27406,TP1+Trail,1.03,1303.49,4.12,456.2215,452.1015,0.35,1.1382,1.8970000000000002,True,False,False
NZD_CAD_429,NZD_CAD,bullish,2023-08-23 21:00:00,2023-08-30 21:00:00,0.80458,0.80568,TP1+Trail,1.67,1303.44,6.68,456.204,449.524,0.35,1.1382,1.8970000000000002,True,False,False
NZD_CAD_436,NZD_CAD,bullish,2023-08-24 21:00:00,2023-08-30 21:00:00,0.80501234,0.80568,TP1+Trail,1.97,1034.95,7.88,362.2325,354.3525,0.35,0.891,1.485,True,False,False
CAD_JPY_407,CAD_JPY,bullish,2023-08-03 21:00:00,2023-08-31 09:00:00,105.963,107.69,SAFETY_DAILY_DD_5.3%,0.01,2355.49,0.04,1726.9994743916598,1726.9594743916598,0.7331805587761612,0.99,1.6500000000000001,False,False,False
USD_CHF_413,USD_CHF,bearish,2023-08-13 21:00:00,2023-08-31 09:00:00,0.88254592,0.88222,SAFETY_DAILY_DD_5.3%,0.55,1140.69,2.2,20.311205171213714,18.111205171213715,0.0178060692836912,0.99,1.6500000000000001,False,False,False
GBP_CHF_418,GBP_CHF,bearish,2023-08-20 21:00:00,2023-08-31 09:00:00,1.12084,1.11922,SAFETY_DAILY_DD_5.3%,0.99,1117.84,3.96,495.49084241148853,491.53084241148855,0.44325739140797304,0.99,1.6500000000000001,True,False,False
AUD_JPY_419,AUD_JPY,bullish,2023-08-20 21:00:00,2023-08-31 09:00:00,93.782,94.385,SAFETY_DAILY_DD_5.3%,0.01,1390.69,0.04,602.9992376346685,602.9592376346685,0.43359716229689466,0.99,1.6500000000000001,False,False,False
GBP_CHF_420,GBP_CHF,bearish,2023-08-21 21:00:00,2023-08-31 09:00:00,1.12107,1.11922,SAFETY_DAILY_DD_5.3%,0.91,997.31,3.64,458.4860107616096,454.8460107616096,0.4597226647297326,0.891,1.485,True,False,False
AUD_CAD_421,AUD_CAD,bullish,2023-08-22 21:00:00,2023-08-31 09:00:00,0.87072934,0.87644,SAFETY_DAILY_DD_5.3%,1.39,1107.93,5.56,903.731781364375,898.1717813643751,0.8156939349637387,0.99,1.6500000000000001,True,False,False
NZD_CAD_422,NZD_CAD,bullish,2023-08-22 21:00:00,2023-08-31 09:00:00,0.80501234,0.80583,SAFETY_DAILY_DD_5.3%,1.35,1111.64,5.4,110.38402403913315,104.98402403913315,0.09929835561794569,0.99,1.6500000000000001,False,False,False
EUR_AUD_423,EUR_AUD,bullish,2023-08-22 21:00:00,2023-08-31 09:00:00,1.68155226,1.68092,SAFETY_DAILY_DD_5.3%,0.78,1112.23,3.12,-49.316468057930514,-52.43646805793051,-0.04434017070024232,0.99,1.6500000000000001,False,False,False
EUR_AUD_424,EUR_AUD,bullish,2023-08-22 21:00:00,2023-08-31 09:00:00,1.68327126,1.68092,SAFETY_DAILY_DD_5.3%,0.69,1105.75,2.76,-162.23755659204048,-164.99755659204047,-0.1467217332959896,0.99,1.6500000000000001,False,False,False
AUD_CHF_425,AUD_CHF,bearish,2023-08-22 21:00:00,2023-08-31 09:00:00,0.56899,0.57072,SAFETY_DAILY_DD_5.3%,1.53,1108.43,6.12,-264.6898530085005,-270.8098530085005,-0.23879708507393385,0.99,1.6500000000000001,False,False,False
SPX500_USD_426,SPX500_USD,bullish,2023-08-23 00:00:00,2023-08-31 09:00:00,4447.0,4517.4,SAFETY_DAILY_DD_5.3%,9.03,1107.38,0.0,635.711092486334,635.711092486334,0.5740677025829741,0.99,1.6500000000000001,False,False,False
NAS100_USD_427,NAS100_USD,bullish,2023-08-23 00:00:00,2023-08-31 09:00:00,15315.4335,15434.6,SAFETY_DAILY_DD_5.3%,1.38,1109.88,0.0,164.44941001179703,164.44941001179703,0.14816863986358617,0.99,1.6500000000000001,False,False,False
AUD_CAD_428,AUD_CAD,bullish,2023-08-23 21:00:00,2023-08-31 09:00:00,0.87152,0.87644,SAFETY_DAILY_DD_5.3%,1.49,1303.18,5.96,932.6155408168767,926.6555408168766,0.7156459896690224,1.1382,1.8970000000000002,True,False,False
