trade_id,symbol,direction,entry_time,entry_price,stop_loss,risk,exit_time,exit_reason,rr,pnl_dollars,is_winner,tp1_hit,tp2_hit,tp3_hit,hours_in_trade
65,GBP_AUD,bullish,2023-01-17 22:00:00,1.75931458,1.7395031101160343,0.01981146988396576,2023-01-20 08:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,58
99,NZD_JPY,bearish,2023-01-19 22:00:00,83.311466,84.93531531393263,1.623849313932638,2023-01-20 11:00:00,TP1+Trail,0.21,75.6,True,True,False,False,13
40,USD_CHF,bearish,2023-01-09 22:00:00,0.92294,0.9446878309634246,0.021747830963424586,2023-01-20 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,255
46,GBP_CHF,bearish,2023-01-10 22:00:00,1.1258235,1.1386517126696782,0.012828212669678152,2023-01-20 13:00:00,SL,-1.0,-360.0,False,False,False,False,231
52,CAD_CHF,bearish,2023-01-11 22:00:00,0.69714044,0.7075832550270286,0.010442815027028596,2023-01-20 14:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,208
71,USD_CAD,bullish,2023-01-17 22:00:00,1.34290774,1.327776382369386,0.015131357630614017,2023-01-20 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,65
98,CAD_CHF,bearish,2023-01-19 22:00:00,0.68771,0.6975562760078878,0.009846276007887789,2023-01-20 17:00:00,TP1+Trail,0.21,75.6,True,True,False,False,19
89,NZD_CHF,bullish,2023-01-18 22:00:00,0.58781532,0.5815623554297286,0.006252964570271469,2023-01-22 22:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,96
90,AUD_JPY,bullish,2023-01-18 22:00:00,89.193,87.5001864164952,1.692813583504801,2023-01-23 12:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,110
104,USD_CHF,bearish,2023-01-22 22:00:00,0.9235234,0.9355512997789952,0.01202789977899521,2023-01-23 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
106,AUD_JPY,bearish,2023-01-22 22:00:00,90.411078,91.74083926332813,1.3297612633281233,2023-01-23 15:00:00,SL,-1.0,-360.0,False,False,False,False,17
108,EUR_AUD,bullish,2023-01-22 22:00:00,1.54916428,1.5304016840303174,0.01876259596968266,2023-01-23 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,17
92,EUR_AUD,bullish,2023-01-18 22:00:00,1.57136138,1.5442608356488547,0.027100544351145173,2023-01-23 16:00:00,SL,-1.0,-360.0,False,False,False,False,114
93,EUR_AUD,bullish,2023-01-18 22:00:00,1.56438416,1.5441609699495635,0.02022319005043638,2023-01-23 16:00:00,SL,-1.0,-360.0,False,False,False,False,114
83,GBP_AUD,bearish,2023-01-18 22:00:00,1.7889999399999998,1.813045399208096,0.024045459208096087,2023-01-23 19:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,117
96,GBP_AUD,bearish,2023-01-19 22:00:00,1.7889999399999998,1.8128389421218032,0.023839002121803343,2023-01-23 22:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,96
87,NZD_USD,bullish,2023-01-18 22:00:00,0.63816,0.626570842141331,0.011589157858668986,2023-01-24 07:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,129
42,USD_CHF,bearish,2023-01-10 22:00:00,0.92540284,0.9447844144660372,0.019381574466037277,2023-01-24 12:00:00,TP1+Trail,0.21,75.6,True,True,False,False,326
66,GBP_AUD,bullish,2023-01-17 22:00:00,1.77719592,1.738565657048037,0.038630262951963035,2023-01-25 01:00:00,SL,-1.0,-360.0,False,False,False,False,171
94,EUR_AUD,bullish,2023-01-18 22:00:00,1.56553982,1.5327950537756898,0.03274476622431011,2023-01-25 06:00:00,SL,-1.0,-360.0,False,False,False,False,152
107,EUR_AUD,bullish,2023-01-22 22:00:00,1.55786,1.5319869652796645,0.02587303472033553,2023-01-25 06:00:00,SL,-1.0,-360.0,False,False,False,False,56
77,AUD_NZD,bullish,2023-01-17 22:00:00,1.08252738,1.0722133159509493,0.010314064049050664,2023-01-25 09:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,179
112,GBP_NZD,bearish,2023-01-24 22:00:00,1.91264836,1.9297340308540023,0.017085670854002366,2023-01-25 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,17
97,USD_CAD,bullish,2023-01-19 22:00:00,1.34290774,1.3307986407715726,0.0121090992284274,2023-01-26 14:00:00,SL,-1.0,-360.0,False,False,False,False,160
110,XAG_USD,bullish,2023-01-24 00:00:00,23.530000686645508,22.936023856005825,0.5939768306396829,2023-01-26 15:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,63
111,XAG_USD,bullish,2023-01-24 00:00:00,23.629685985565185,22.942410257170184,0.6872757283950008,2023-01-27 08:00:00,TP1+Trail,0.21,75.6,True,True,False,False,80
67,EUR_CAD,bullish,2023-01-17 22:00:00,1.44422,1.4193992498640176,0.024820750135982506,2023-01-27 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,233
119,GBP_CHF,bullish,2023-01-30 22:00:00,1.12877866,1.1167893611969406,0.011989298803059434,2023-01-31 03:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,5
91,AUD_JPY,bullish,2023-01-18 22:00:00,89.284044,87.51043152545637,1.7736124745436257,2023-01-31 10:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,300
121,AUD_USD,bullish,2023-01-30 22:00:00,0.69840496,0.6866398698494269,0.011765090150573032,2023-01-31 11:00:00,TP1+Trail,0.21,75.6,True,True,False,False,13
117,USD_CAD,bullish,2023-01-30 22:00:00,1.34290774,1.3300833140579973,0.012824425942002726,2023-01-31 18:00:00,SL,-1.0,-360.0,False,False,False,False,20
120,AUD_CAD,bullish,2023-01-30 22:00:00,0.93887864,0.9268676022989308,0.01201103770106915,2023-01-31 18:00:00,TP1+Trail,0.21,75.6,True,True,False,False,20
118,NZD_CHF,bullish,2023-01-30 22:00:00,0.5911646199999999,0.581135937337503,0.010028682662496902,2023-01-31 21:00:00,TP1+Trail,0.21,75.6,True,True,False,False,23
47,GBP_CHF,bullish,2023-01-10 22:00:00,1.12698708,1.1048998382352988,0.022087241764701115,2023-02-01 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,521
56,NAS100_USD,bearish,2023-01-12 00:00:00,11499.3635,12343.502116659076,844.1386166590764,2023-02-01 20:00:00,SL,-1.0,-360.0,False,False,False,False,500
86,NZD_USD,bullish,2023-01-18 22:00:00,0.63838,0.6258205223060487,0.012559477693951271,2023-02-02 07:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,345
124,EUR_USD,bullish,2023-01-31 22:00:00,1.08614268,1.0738248967329491,0.012317783267050908,2023-02-02 07:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,33
103,EUR_GBP,bullish,2023-01-22 22:00:00,0.88129446,0.873842037706139,0.007452422293861005,2023-02-02 12:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,254
115,XAG_USD,bullish,2023-01-30 00:00:00,23.64900016784668,22.94363693432337,0.7053632335233111,2023-02-02 13:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,85
122,GBP_CAD,bearish,2023-01-30 22:00:00,1.65799348,1.6763694163742693,0.018375936374269264,2023-02-02 14:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,64
128,EUR_CHF,bullish,2023-02-01 22:00:00,0.9943066,0.9850034827428606,0.009303117257139393,2023-02-02 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
129,CHF_JPY,bullish,2023-02-01 22:00:00,140.8856,139.37533419490637,1.5102658050936384,2023-02-02 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
132,XAG_USD,bullish,2023-02-02 00:00:00,23.629685985565185,22.65618189843633,0.9735040871288554,2023-02-02 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
136,NZD_USD,bullish,2023-02-02 22:00:00,0.63766672,0.6295458426206788,0.008120877379321212,2023-02-03 02:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,4
85,NZD_USD,bullish,2023-01-18 22:00:00,0.63938,0.6270524855603602,0.012327514439639753,2023-02-03 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,375
125,EUR_NZD,bearish,2023-01-31 22:00:00,1.69298054,1.712157813891212,0.019177273891211932,2023-02-03 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,63
135,EUR_USD,bullish,2023-02-02 22:00:00,1.08614268,1.073611689823453,0.01253099017654713,2023-02-03 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,15
138,USD_CHF,bearish,2023-02-02 22:00:00,0.92498,0.932075220309205,0.007095220309204953,2023-02-03 13:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,15
139,USD_CHF,bearish,2023-02-02 22:00:00,0.92112,0.9321148526406824,0.01099485264068234,2023-02-03 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,15
142,AUD_USD,bullish,2023-02-02 22:00:00,0.69840496,0.6869191231994136,0.011485836800586346,2023-02-03 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,15
144,XAU_USD,bullish,2023-02-03 00:00:00,1895.398594238281,1864.113209283261,31.285384955019936,2023-02-03 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,13
101,CAD_JPY,bearish,2023-01-22 22:00:00,97.331102,99.12643191441953,1.7953299144195256,2023-02-03 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,280
105,CAD_CHF,bearish,2023-01-22 22:00:00,0.68861832,0.6974736818546484,0.008855361854648414,2023-02-03 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,280
140,EUR_AUD,bearish,2023-02-02 22:00:00,1.55587844,1.5745712416618114,0.01869280166181131,2023-02-03 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
109,USD_JPY,bearish,2023-01-23 22:00:00,130.56260400000002,133.16465677751222,2.602052777512199,2023-02-03 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,257
134,NZD_CAD,bullish,2023-02-02 22:00:00,0.85418382,0.8404654061954103,0.013718413804589713,2023-02-03 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,17
