date,start_balance,end_balance,hwm,min_equity_allowed,lowest_equity,highest_equity,max_open_trades,trades_opened,trades_closed,realized_pnl,daily_dd_breached
2024-04-18,82438.80000000003,82438.80000000003,83327.05758906207,79160.70470960897,83163.32306638251,83581.70990347864,22,1,0,0.0,False
2024-04-19,82438.80000000003,78370.80000000003,83528.98173963821,79352.5326526563,80601.61059506149,84716.51130790218,31,9,14,-4068.0,False
2024-04-22,78370.80000000003,77290.80000000003,80668.07823648452,76634.6743246603,79674.61049791021,81025.05721537564,22,5,3,-1080.0,False
2024-04-23,77290.80000000003,77308.80000000003,79674.61049791021,75690.8799730147,79472.28325706066,80092.14277407833,27,9,4,17.99999999999997,False
2024-04-24,77308.80000000003,76714.80000000003,79472.28325706066,75498.66909420762,78747.4393690408,80053.97742191344,32,8,3,-594.0,False
2024-04-25,76714.80000000003,77794.80000000003,78829.34872938348,74887.8812929143,78602.5714106368,79632.8355545815,38,9,3,1079.9999999999975,False
2024-04-26,77794.80000000003,77668.80000000003,79353.95047364042,75386.2529499584,78197.07001072363,79330.6410980612,39,4,5,-125.99999999999943,False
2024-04-29,77668.80000000003,78253.80000000003,79159.63197199522,75201.65037339546,79846.26971627324,81178.25553486148,42,8,10,584.9999999999986,False
2024-04-30,78253.80000000003,78505.80000000003,80055.44953782365,76052.67706093246,80126.38055179971,82074.73737293524,41,11,8,251.99999999999847,False
2024-05-01,78505.80000000003,83761.80000000003,81700.72058290904,77615.68455376358,86502.68393121386,90777.44397982188,54,20,16,5256.000000000002,False
2024-05-02,83761.80000000003,84130.80000000003,86502.68393121386,82177.54973465316,86719.65048886542,89465.47696101232,49,10,4,369.0000000000032,False
2024-05-03,84130.80000000003,82942.80000000003,87331.35994391105,82964.7919467155,84163.40729772458,87415.82173960458,56,12,18,-1188.000000000006,False
2024-05-06,82942.80000000003,82942.80000000003,85183.32148081862,80924.15540677769,83036.75366717708,86444.14884781743,45,6,0,0.0,False
2024-05-07,82942.80000000003,84013.80000000003,86428.50645902216,82107.08113607105,84137.26003784292,87275.37442537733,46,1,4,1071.000000000001,False
2024-05-08,84013.80000000003,83653.80000000003,87182.56835583165,82823.43993804007,86163.2124529684,88218.69889827918,43,1,1,-360.0,False
2024-05-09,83653.80000000003,83185.80000000003,87608.05838303822,83227.65546388632,86744.79230391345,88624.88154683291,45,3,4,-468.0,False
2024-05-10,83185.80000000003,83536.80000000003,88624.88154683291,84193.63746949127,87290.92767944807,89512.85297162575,43,2,6,350.9999999999998,False
2024-05-13,83536.80000000003,83662.80000000003,88408.02289582299,83987.62175103184,88180.19894840251,89505.88781093611,39,2,1,125.99999999999999,False
2024-05-14,83662.80000000003,83779.80000000003,89384.97856802848,84915.72963962705,89151.97027064736,90188.39001180211,38,0,2,117.0,False
2024-05-15,83779.80000000003,83536.80000000003,89894.3361366739,85399.6193298402,88445.58305988552,90169.44061246014,39,3,3,-243.0,False
2024-05-16,83536.80000000003,84256.80000000003,88699.84987330552,84264.85737964023,87570.86497101671,89223.02684580628,36,0,4,719.9999999999993,False
2024-05-17,84256.80000000003,84616.80000000003,89009.71349536792,84559.22782059952,88592.93894427648,89576.63130453533,35,3,5,360.0000000000007,False
2024-05-20,84616.80000000003,85444.80000000003,89564.99210807969,85086.74250267571,89423.93008478363,90896.78795203073,32,3,7,827.9999999999991,False
2024-05-21,85444.80000000003,86038.80000000003,90896.78795203073,86351.9485544292,90649.57141368689,91370.10685825831,25,1,3,594.0000000000001,False
2024-05-22,86038.80000000003,85804.80000000003,91013.71401857233,86463.02831764371,90903.59956954836,91512.55651501696,30,6,8,-233.99999999999835,False
2024-05-23,85804.80000000003,86281.80000000003,91437.46184335442,86865.5887511867,90767.01832596886,91883.21848062894,25,3,1,477.0,False
2024-05-24,86281.80000000003,86281.80000000003,90774.64707687643,86235.9147230326,90827.88145415073,91309.56016388441,24,0,0,0.0,False
2024-05-27,86281.80000000003,86281.80000000003,91309.56016388441,86744.0821556902,91186.46164129686,91908.93451409519,24,0,0,0.0,False
2024-05-28,86281.80000000003,86281.80000000003,91476.41194916978,86902.5913517113,91329.79204015706,91962.40860402843,25,1,0,0.0,False
2024-05-29,86281.80000000003,86281.80000000003,91962.40860402843,87364.28817382701,91259.24608901014,92383.90031726207,28,3,0,0.0,False
2024-05-30,86281.80000000003,86884.80000000003,92383.90031726207,87764.70530139896,90968.23551996541,93426.78575474668,35,7,2,602.9999999999981,False
2024-05-31,86884.80000000003,86767.80000000003,91070.22230430656,86516.71118909123,91007.51090352159,92284.6892231261,37,5,4,-117.00000000000108,False
2024-06-03,86767.80000000003,86164.80000000003,91267.46707020313,86704.09371669297,90312.03831372198,91166.16139727346,39,5,4,-603.0,False
2024-06-04,86164.80000000003,87136.80000000003,90880.4242358464,86336.40302405407,89678.99893979322,92362.99090517408,40,6,12,972.0000000000002,False
2024-06-05,87136.80000000003,88567.80000000003,90147.84816479744,85640.45575655757,89797.07369117586,93058.61916765728,35,6,3,1430.999999999999,False
2024-06-06,88567.80000000003,88567.80000000003,92990.14406797398,88340.63686457528,91979.51332118991,93602.45585900817,34,2,0,0.0,False
2024-06-07,88567.80000000003,88369.80000000003,92883.4574674954,88239.28459412063,90629.29319549774,95253.8004805914,45,12,16,-198.0000000000016,False
2024-06-10,88369.80000000003,88612.80000000003,90632.94713887607,86101.29978193226,90849.19524532919,91629.9462160698,31,1,3,242.99999999999613,False
