date,balance,equity,daily_hwm,open_trades,trading_halted
2024-06-24,269312.80097173643,275384.115734873,274808.5976526069,19,False
2024-06-25,267711.25097173644,274825.10353959724,275384.115734873,19,False
2024-06-26,264818.89227173646,274950.3236823148,274825.10353959724,16,False
2024-06-27,269275.13707173645,277221.49015112215,274950.3236823148,18,False
2024-06-28,274485.15851173643,277601.35976565006,277221.49015112215,14,False
2024-06-30,272891.3885117364,276320.83394990885,277601.35976565006,18,False
2024-07-01,275021.1092717364,280158.68594953057,276320.83394990885,19,False
2024-07-02,276200.4021917364,278287.2879697134,280158.68594953057,21,False
2024-07-03,275718.17384173634,281902.7955702731,278287.2879697134,22,False
2024-07-04,273181.67694173637,280995.6588044446,281902.7955702731,26,False
2024-07-05,280225.8071817364,290351.7690553181,280995.6588044446,22,False
2024-07-07,280225.8071817364,289062.7700350969,290351.7690553181,23,False
2024-07-08,279864.3139017364,288089.6679347957,289062.7700350969,21,False
2024-07-09,281032.1912117364,289923.6207391746,288089.6679347957,27,False
2024-07-10,289483.8745617364,304309.65459803585,289923.6207391746,31,False
2024-07-11,306782.1979117364,308582.80323149345,304309.65459803585,16,False
2024-07-12,309270.56385173637,313262.75160586135,308582.80323149345,14,False
2024-07-14,309270.56385173637,311991.3198930613,313262.75160586135,16,False
2024-07-15,312569.48725173634,310572.91809583147,311991.3198930613,12,False
2024-07-16,309001.05725173635,309232.65209662373,312569.48725173634,16,False
2024-07-17,306833.52325173636,310531.6140242577,309232.65209662373,12,False
2024-07-18,304978.90325173637,306991.60893831466,310531.6140242577,15,False
2024-07-19,302986.00536173634,304654.5804102285,306991.60893831466,13,False
2024-07-21,302986.00536173634,306385.5409695147,304654.5804102285,16,False
2024-07-22,297481.6753617364,298228.4099316161,306385.5409695147,14,False
2024-07-23,295630.9253617364,296025.53613459575,298228.4099316161,14,False
2024-07-24,289093.2558417364,293087.20187210495,296025.53613459575,10,False
2024-07-25,289319.9270417364,293400.34794381727,293087.20187210495,6,False
2024-07-26,289319.9270417364,293446.647567234,293400.34794381727,7,False
2024-07-28,289319.9270417364,294452.8695952944,293446.647567234,9,False
2024-07-29,290591.5265417364,296499.51174350246,294452.8695952944,11,False
2024-07-30,292185.74248173635,298548.17688228714,296499.51174350246,12,False
2024-07-31,293432.2339617364,298211.8416614585,298548.17688228714,10,False
2024-08-01,293782.6413617364,290297.32587729313,298211.8416614585,13,False
2024-08-02,292908.45003173646,298461.95903851115,293782.6413617364,7,False
2024-08-04,295293.88661173644,299827.00625847036,298461.95903851115,8,False
2024-08-05,301656.6794717364,308363.669821535,299827.00625847036,9,False
2024-08-06,306880.7939317364,311079.7191178651,308363.669821535,7,False
2024-08-07,308011.4650317364,311691.89344369696,311079.7191178651,7,False
2024-08-08,310048.3373417364,310809.94369949686,311691.89344369696,6,False
2024-08-09,310048.3373417364,310726.6430165687,310809.94369949686,7,False
2024-08-11,310048.3373417364,308470.5132881904,310726.6430165687,9,False
2024-08-12,310048.3373417364,309555.3702476645,310048.3373417364,12,False
2024-08-13,310048.3373417364,313518.49907949724,310048.3373417364,19,False
2024-08-14,310812.5445417364,312892.6453558593,313518.49907949724,24,False
2024-08-15,314229.93334173644,317821.9093190968,312892.6453558593,24,False
2024-08-16,314229.93334173644,320478.0656247841,317821.9093190968,25,False
2024-08-18,315565.6108617364,327375.53786678537,320478.0656247841,33,False
2024-08-19,319594.0078417364,324677.39117555873,327375.53786678537,30,False
2024-08-20,320902.9596617364,323754.62969031034,324677.39117555873,27,False
2024-08-21,320902.9596617364,328114.2358580962,323754.62969031034,27,False
2024-08-22,320902.9596617364,332109.56632151606,328114.2358580962,27,False
2024-08-23,331033.07682173647,334031.1158702267,332109.56632151606,23,False
2024-08-25,331033.07682173647,332715.65163905075,334031.1158702267,27,False
2024-08-26,331441.3517217365,335815.1537685802,332715.65163905075,26,False
2024-08-27,330261.9157217365,332222.1932297376,335815.1537685802,25,False
2024-08-28,326489.7557217365,333943.561657094,332222.1932297376,24,False
2024-08-29,324560.9957217365,332579.4181099074,333943.561657094,24,False
2024-08-30,325373.98752173653,339574.1926973003,332579.4181099074,23,False
2024-09-01,325373.98752173653,339806.8406446062,339574.1926973003,24,False
2024-09-02,325373.98752173653,344752.3077958323,339806.8406446062,33,False
2024-09-03,331049.5987717365,340735.27660781617,344752.3077958323,29,False
2024-09-04,332310.73087173654,331352.8426283973,340735.27660781617,25,False
2024-09-05,328977.64087173657,336137.2288137591,332310.73087173654,37,False
2024-09-06,330287.0683317367,331748.3014302311,336137.2288137591,29,False
2024-09-08,330287.0683317367,334447.478473415,331748.3014302311,33,False
2024-09-09,333247.1799817368,332750.33730110154,334447.478473415,34,False
2024-09-10,333247.1799817368,333910.6216365498,333247.1799817368,37,False
2024-09-11,338254.1302017369,333724.13744315534,333910.6216365498,35,False
2024-09-12,341309.77828173694,337738.3392084857,338254.1302017369,33,False
2024-09-13,341309.77828173694,334903.4247418271,341309.77828173694,35,False
2024-09-15,341309.77828173694,338324.1706912941,341309.77828173694,37,False
2024-09-16,341309.77828173694,343594.2230318205,341309.77828173694,37,False
2024-09-17,344091.7001617369,347474.7389552931,343594.2230318205,39,False
2024-09-18,353958.9222417369,359546.87005934626,347474.7389552931,38,False
2024-09-19,352570.69866173697,360915.147722039,359546.87005934626,30,False
2024-09-20,353221.29536173696,365988.16920674307,360915.147722039,29,False
2024-09-22,353221.29536173696,367525.0203210919,365988.16920674307,33,False
2024-09-23,353071.866961737,363674.67735588417,367525.0203210919,28,False
2024-09-24,351111.843381737,367719.673080721,363674.67735588417,24,False
2024-09-25,351546.585181737,366955.4610825561,367719.673080721,28,False
2024-09-26,354978.67352173704,378073.88189220853,366955.4610825561,26,False
2024-09-27,368520.2445909813,368520.2445909813,368520.2445909813,0,True
2024-09-29,368520.2445909813,368520.2445909813,368520.2445909813,0,False
2024-09-30,368520.2445909813,372753.3206928886,368520.2445909813,3,False
2024-10-01,371937.89473098126,374063.897998425,372753.3206928886,3,False
2024-10-02,372853.4955309812,377018.3660463292,374063.897998425,8,False
2024-10-03,373771.7540309812,373984.12281418254,377018.3660463292,9,False
2024-10-04,369281.5640309812,367447.07294064824,373984.12281418254,7,False
2024-10-06,369281.5640309812,368507.19308491325,369281.5640309812,10,False
2024-10-07,369281.5640309812,367024.65335674415,369281.5640309812,13,False
2024-10-08,369741.18453098123,366383.4151247768,369281.5640309812,12,False
2024-10-09,363009.1245309812,364013.4734487724,369741.18453098123,10,False
2024-10-10,363009.1245309812,366046.2159122099,364013.4734487724,10,False
2024-10-11,364590.0821609812,368227.5098048116,366046.2159122099,9,False
2024-10-13,364590.0821609812,367305.16780967277,368227.5098048116,9,False
2024-10-14,364590.0821609812,367706.4805081891,367305.16780967277,9,False
2024-10-15,365051.6297609812,363405.22826692887,367706.4805081891,8,False
2024-10-16,362636.2853509812,361839.5865707475,365051.6297609812,6,False
2024-10-17,362636.2853509812,364386.8277475015,362636.2853509812,6,False
2024-10-18,362636.2853509812,364790.63808735716,364386.8277475015,6,False
2024-10-20,362636.2853509812,364436.96273201104,364790.63808735716,8,False
2024-10-21,364677.5734709812,366548.8399859856,364436.96273201104,7,False
2024-10-22,364677.5734709812,369715.38982867624,366548.8399859856,11,False
2024-10-23,367899.4955309812,372587.9468556273,369715.38982867624,9,False
2024-10-24,369386.86071098124,375185.58897635987,372587.9468556273,9,False
2024-10-25,369846.30081098125,374569.3424478469,375185.58897635987,9,False
2024-10-27,369846.30081098125,376552.86925824685,374569.3424478469,9,False
2024-10-28,369846.30081098125,379901.0603442918,376552.86925824685,12,False
2024-10-29,370337.25751098123,383291.62130155304,379901.0603442918,14,False
2024-10-30,375789.9325709812,394651.2165456178,383291.62130155304,23,False
2024-10-31,384196.0971709812,385685.8351252372,394651.2165456178,11,False
2024-11-01,384682.25137098116,387394.84670440236,385685.8351252372,12,False
2024-11-03,384682.25137098116,392501.4508767756,387394.84670440236,17,False
2024-11-04,384682.25137098116,396236.1505284391,392501.4508767756,20,False
2024-11-05,386095.45297098113,394015.8602451726,396236.1505284391,29,False
2024-11-06,400556.38433098106,419812.0155195215,394015.8602451726,26,False
2024-11-07,419066.681490981,426984.23816143814,419812.0155195215,20,False
2024-11-08,426207.89905098104,427853.60719628155,426984.23816143814,13,False
2024-11-10,426207.89905098104,427048.8596773945,427853.60719628155,14,False
2024-11-11,423926.14905098104,422580.80122102896,427048.8596773945,15,False
2024-11-12,415778.58632098103,419905.6459213775,423926.14905098104,11,False
2024-11-13,413236.47632098105,420943.4235621383,419905.6459213775,10,False
2024-11-14,420655.40834098106,430176.76444505557,420943.4235621383,13,False
2024-11-15,430422.76899098104,432862.1807996662,430176.76444505557,6,False
2024-11-17,430422.76899098104,433704.67922403896,432862.1807996662,7,False
2024-11-18,430422.76899098104,433524.47540430987,433704.67922403896,10,False
2024-11-19,428026.00232098106,430015.91998194635,433524.47540430987,6,False
2024-11-20,428026.00232098106,433560.55049241794,430015.91998194635,9,False
2024-11-21,428530.4831209811,436621.92392036587,433560.55049241794,10,False
2024-11-22,437405.31472098106,438198.23713225365,436621.92392036587,4,False
2024-11-24,438458.416920981,439545.1042561606,438198.23713225365,3,False
2024-11-25,440855.970220981,445994.17707866133,439545.1042561606,9,False
2024-11-26,442500.07102098095,450493.28016458685,445994.17707866133,15,False
2024-11-27,443414.243770981,444955.9085039963,450493.28016458685,11,False
2024-11-28,443414.243770981,445266.49332096643,444955.9085039963,13,False
2024-11-29,443945.971670981,442908.88164542825,445266.49332096643,12,False
2024-12-01,443945.971670981,446880.8820894958,443945.971670981,16,False
2024-12-02,444941.40875098103,450304.3283033494,446880.8820894958,14,False
2024-12-03,446014.45525098103,452767.9890554406,450304.3283033494,19,False
2024-12-04,446360.30938098097,456282.8548690187,452767.9890554406,18,False
2024-12-05,446858.878020981,449386.915480615,456282.8548690187,16,False
2024-12-06,443387.11538098095,457665.90509475034,449386.915480615,13,False
2024-12-08,443387.11538098095,459100.82661541854,457665.90509475034,15,False
2024-12-09,450736.39758098096,463017.99766389036,459100.82661541854,16,False
2024-12-10,451281.238780981,469417.3544056003,463017.99766389036,16,False
2024-12-11,459588.29792098096,472502.35576128133,469417.3544056003,14,False
2024-12-12,463218.37446098094,477900.9622258339,472502.35576128133,16,False
2024-12-13,468750.7959909809,475890.22683949105,477900.9622258339,12,False
2024-12-15,468750.7959909809,476243.1704089525,475890.22683949105,16,False
2024-12-16,468750.7959909809,473959.4481720783,476243.1704089525,17,False
2024-12-17,474258.13413098094,478904.3143345279,473959.4481720783,17,False
