symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
AUD_CHF,bullish,14,4,False,2018-07-10 00:00:00,2018-07-10 22:15:00,0.7369489727999998,2018-07-17 10:15:00,0.7369489727999998,SL,0.11,121.42610017798167,0.44,14.131132021357802
GBP_CAD,bullish,15,5,True,2018-01-30 00:00:00,2018-05-10 11:30:00,1.7260096727999998,2018-07-18 08:15:00,1.7260096727999998,SL,0.04,125.7559810859367,0.16,14.930717730312404
GBP_USD,bullish,14,4,False,2018-07-10 00:00:00,2018-07-11 16:45:00,1.3220973587999998,2018-07-18 08:15:00,1.302586821789644,SL,0.06,121.68072499619647,0.24,-121.92072499619647
EUR_CHF,bullish,15,5,True,2018-07-09 00:00:00,2018-07-09 00:00:00,1.16268,2018-07-18 10:00:00,1.16268,SL,0.09,121.29982185032999,0.36,14.195978622039599
USD_CHF,bullish,15,5,True,2018-05-15 00:00:00,2018-05-23 06:30:00,0.9915669689999999,2018-07-20 18:00:00,0.9915669689999999,SL,0.07,121.79151612940983,0.28,14.33498193552918
GBP_AUD,bearish,14,4,False,2018-05-29 00:00:00,2018-06-14 08:30:00,1.7763347746000002,2018-07-23 12:30:00,1.7763347746000002,SL,0.06,118.63420759579326,0.24,13.99610491149519
XAG_USD,bearish,15,5,True,2018-07-03 00:00:00,2018-07-04 01:30:00,16.092642108621597,2018-07-25 12:00:00,15.61196095265718,SL,0.05,120.00428705796261,0.2,137.80493011665706
AUD_USD,bearish,15,5,True,2018-06-27 00:00:00,2018-07-09 01:30:00,0.7453407292,2018-07-25 19:30:00,0.7453407292,SL,0.08,121.29982185032999,0.32,14.235978622039598
AUD_USD,bearish,15,5,True,2018-07-26 00:00:00,2018-07-26 00:00:00,0.7448443734,2018-07-27 13:45:00,0.7402919479648434,SL,0.29,121.52975730060574,1.16,138.5992208956971
USD_JPY,bearish,15,5,True,2018-01-11 00:00:00,2018-07-11 17:30:00,112.01313393,2018-08-01 06:00:00,112.01313393,SL,0.11,120.61988529069902,0.44,14.03438623488388
EUR_CHF,bullish,15,5,True,2018-07-19 00:00:00,2018-07-19 00:00:00,1.1654081304,2018-08-03 13:30:00,1.1507013074504435,SL,0.08,120.03864140654194,0.32,-120.35864140654193
GBP_JPY,bullish,15,5,True,2018-07-10 00:00:00,2018-07-19 12:30:00,146.58810002999996,2018-08-06 12:15:00,144.0719427489241,SL,0.07,120.6851848708358,0.28,-120.9651848708358
GBP_NZD,bullish,15,5,True,2018-07-09 00:00:00,2018-07-09 01:45:00,1.9426803764999998,2018-08-08 10:30:00,1.910306252136057,SL,0.06,121.29982185032999,0.24,-121.53982185032999
USD_CAD,bearish,15,5,True,2017-06-15 00:00:00,2018-06-22 12:30:00,1.3363071487,2018-08-08 12:45:00,1.3113154983492166,SL,0.07,115.36503444649257,0.28,132.3897896134664
GBP_CAD,bearish,15,5,True,2018-07-19 00:00:00,2018-07-19 17:00:00,1.7267200548,2018-08-09 07:30:00,1.6737401796893885,TP3,0.06,120.6851848708358,0.24,198.89055503687894
GBP_AUD,bearish,15,5,True,2018-07-24 00:00:00,2018-07-24 00:00:00,1.77639,2018-08-10 05:00:00,1.746320016601401,SL,0.07,120.94041607966882,0.28,140.09733701627948
USD_JPY,bullish,14,4,False,2018-08-02 00:00:00,2018-08-02 00:00:00,111.85824065999998,2018-08-13 01:00:00,110.47825182204798,SL,0.13,123.40190723713636,0.52,-123.92190723713635
GBP_USD,bearish,15,5,True,2018-07-23 00:00:00,2018-07-23 00:00:00,1.31406,2018-08-14 16:00:00,1.2720555512137264,TP3,0.06,120.81230660355486,0.24,199.8045631674856
XAG_USD,bearish,15,5,True,2018-08-07 00:00:00,2018-08-07 03:00:00,15.342132274360658,2018-08-15 12:45:00,14.768221894348397,TP3,0.09,122.27686659738819,0.36,201.39682988569058
EUR_CHF,bearish,15,5,True,2018-08-06 00:00:00,2018-08-06 13:45:00,1.1523907318,2018-08-15 14:45:00,1.1250965051735182,TP3,0.09,122.27686659738819,0.36,201.3968298856908
AUD_CHF,bearish,15,5,True,2018-07-18 00:00:00,2018-07-19 01:30:00,0.7415876688,2018-08-17 18:15:00,0.7265009766755801,SL,0.09,120.03864140654194,0.36,137.68443761752343
AUD_USD,bearish,15,5,True,2018-07-30 00:00:00,2018-07-30 00:00:00,0.7369766,2018-08-21 16:45:00,0.7369766,SL,0.1,122.90749028832752,0.4,14.348898834599302
NZD_CHF,bearish,15,5,True,2018-07-03 00:00:00,2018-07-09 15:30:00,0.6785672742,2018-08-21 22:45:00,0.6618466513134006,SL,0.08,121.42826017798166,0.32,139.32249920467885
CHF_JPY,bearish,15,5,True,2018-07-25 00:00:00,2018-07-31 01:30:00,112.45246499999999,2018-08-22 12:45:00,112.45246499999999,SL,0.16,123.40586723713636,0.64,14.168704068456362
USD_JPY,bearish,14,4,False,2018-08-14 00:00:00,2018-08-14 07:00:00,111.135132,2018-08-23 14:00:00,111.135132,SL,0.14,125.00740057807805,0.56,14.440888069369365
AUD_USD,bearish,15,5,True,2018-08-22 00:00:00,2018-08-22 00:00:00,0.7334471758,2018-08-24 14:00:00,0.7334471758,SL,0.09,130.82516011966155,0.36,15.339019214359386
CAD_CHF,bullish,15,5,True,2018-06-29 00:00:00,2018-06-29 09:00:00,0.7506859559999999,2018-08-29 13:45:00,0.7506859559999999,SL,0.1,116.76232517498181,0.4,13.611479020997818
GBP_CAD,bearish,15,5,True,2018-08-16 00:00:00,2018-08-21 18:45:00,1.6838466789,2018-08-29 14:45:00,1.6838466789,SL,0.05,130.22697023178054,0.2,15.427236427813666
GBP_AUD,bearish,15,5,True,2018-08-13 00:00:00,2018-08-13 04:45:00,1.7550081435999998,2018-08-30 01:30:00,1.7887649352625636,SL,0.06,124.87534156215287,0.24,-125.11534156215286
USD_CHF,bearish,14,4,False,2018-08-09 00:00:00,2018-08-09 00:00:00,0.990243701,2018-08-31 07:00:00,0.9653055941398182,TP3,0.1,122.27400771870951,0.4,201.3521127358708
AUD_CHF,bearish,15,5,True,2018-08-20 00:00:00,2018-08-20 08:30:00,0.728113936,2018-08-31 10:15:00,0.6990719080001564,TP3,0.09,130.23057023178055,0.36,214.52044088243764
EUR_AUD,bullish,15,5,True,2018-02-02 00:00:00,2018-05-21 14:45:00,1.5537656171999998,2018-09-03 01:30:00,1.6169151944096969,TP3,0.06,122.65211333339401,0.24,202.13598700010033
USD_CAD,bearish,14,4,False,2018-08-09 00:00:00,2018-08-10 08:15:00,1.3120488696000001,2018-09-04 07:15:00,1.3120488696000001,SL,0.09,124.9378325796175,0.36,14.6325399095541
GBP_NZD,bullish,15,5,True,2018-08-09 00:00:00,2018-08-09 05:30:00,1.9363188943000003,2018-09-05 15:15:00,1.9615797474389538,SL,0.09,122.27400771870951,0.36,140.2551088765161
CAD_CHF,bearish,15,5,True,2018-08-30 00:00:00,2018-08-30 00:00:00,0.75171,2018-09-10 09:30:00,0.7385748787880201,SL,0.12,132.69494836677845,0.48,155.20184366791554
AUD_USD,bearish,15,5,True,2018-08-27 00:00:00,2018-08-27 00:00:00,0.73376,2018-09-12 15:15:00,0.7168528663468547,SL,0.09,131.3600490959633,0.36,152.06602523119085
AUD_JPY,bearish,15,5,True,2018-06-19 00:00:00,2018-07-09 01:45:00,82.37809572,2018-09-13 12:30:00,80.40444379065524,SL,0.1,121.29982185032999,0.4,139.09479512787962
EUR_JPY,bearish,15,5,True,2018-08-02 00:00:00,2018-08-29 14:00:00,130.43110531,2018-09-13 13:30:00,130.43110531,SL,0.12,132.69674836677848,0.48,15.443609804013418
