ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1000601,UK100_USD,buy,4.99,6573.450000000001,6646.5710036743785,2021-02-12 14:30:00+00:00,2021-02-15 08:00:00+00:00,510.82333166920324,0.0,6459.6869174240355,0,0.752,0.0,
1000593,EUR_CAD,sell,0.33999999999999986,1.543769,1.5336666689551646,2021-02-12 09:15:00+00:00,2021-02-15 14:30:00+00:00,343.4792555244027,0.0,1.5593110477612853,0,0.708,0.031,
1000580,AUD_CAD,buy,0.3500000000000012,0.982524,0.98379,2021-02-11 06:00:00+00:00,2021-02-15 22:00:00+00:00,44.31000000000367,0.0,0.9755218136329298,0,0.534,0.206,
1000592,EUR_CHF,buy,1.54,1.079281,1.07981,2021-02-12 07:30:00+00:00,2021-02-15 22:00:00+00:00,81.46600000000026,0.0,1.0747616423591673,0,0.602,0.12,
1000611,EUR_NZD,sell,3.5100000000000002,1.67856,1.67808,2021-02-15 00:00:00+00:00,2021-02-15 22:00:00+00:00,168.48000000001264,0.0,1.6958935127962338,0,0.23,0.119,
1000613,GBP_CHF,buy,3.16,1.23755,1.23822,2021-02-15 00:00:00+00:00,2021-02-15 22:00:00+00:00,211.7200000000539,0.0,1.22503062558418,0,0.177,0.038,
1000621,NZD_CAD,buy,5.8,0.9130195,0.91361,2021-02-15 15:00:00+00:00,2021-02-15 22:00:00+00:00,342.4900000000286,0.0,0.9034029994340088,0,0.181,0.015,
1000537,CAD_CHF,buy,0.7399999999999998,0.699327,0.7043,2021-02-12 08:00:00+00:00,2021-02-15 22:00:00+00:00,368.00200000000024,0.0,0.6900590308943653,0,0.58,0.02,
1000590_partial_1613426400,NZD_USD,buy,0.56,0.718005,0.72286,2021-02-12 13:30:00+00:00,2021-02-15 22:00:00+00:00,271.87999999999676,0.0,0.707480646638082,0,,,True
1000590,NZD_USD,buy,0.18000000000000016,0.718005,0.7248458296852467,2021-02-12 13:30:00+00:00,2021-02-16 01:45:00+00:00,123.13493433444043,0.0,0.707480646638082,0,0.701,0.04,
1000639,EUR_NZD,sell,3.7800000000000002,1.67911,1.6794,2021-02-16 14:00:00+00:00,2021-02-16 22:00:00+00:00,-109.61999999996276,0.0,1.6958621904536457,0,0.115,0.154,
1000635,USD_JPY,buy,4.5600000000000005,105.41000000000001,106.025,2021-02-16 00:00:00+00:00,2021-02-16 22:00:00+00:00,2804.399999999977,0.0,104.3309109311724,0,0.619,0.211,
1000644_partial_1613512800,XAU_USD,sell,0.39,1819.275,1794.5359999999998,2021-02-16 00:00:00+00:00,2021-02-16 22:00:00+00:00,964.8210000000101,0.0,1909.1759345131134,0,,,True
1000637_partial_1613512800,EUR_CHF,buy,6.82,1.079281,1.08046,2021-02-16 00:45:00+00:00,2021-02-16 22:00:00+00:00,804.078000000028,0.0,1.074817232442343,0,,,True
1000637_partial_1613591100,EUR_CHF,buy,2.27,1.079281,1.082182448912477,2021-02-16 00:45:00+00:00,2021-02-17 19:45:00+00:00,658.6289031322816,0.0,1.074817232442343,0,,,True
1000642,NZD_CAD,buy,6.1000000000000005,0.9130195,0.91338,2021-02-16 23:00:00+00:00,2021-02-17 22:00:00+00:00,219.9049999999914,0.0,0.9034916709546428,0,0.281,0.261,
1000648,NZD_USD,buy,4.03,0.71887,0.71886,2021-02-17 00:00:00+00:00,2021-02-17 22:00:00+00:00,-4.029999999981659,0.0,0.7075257163498054,0,0.221,0.272,
1000647,USD_CAD,sell,3.5300000000000002,1.2699699999999998,1.27048,2021-02-17 02:15:00+00:00,2021-02-17 22:00:00+00:00,-180.03000000008208,0.0,1.2866023823794535,0,0.074,0.281,
1000650,EUR_NZD,sell,3.8200000000000003,1.6789724999999998,1.67516,2021-02-17 05:00:00+00:00,2021-02-17 22:00:00+00:00,1456.3749999999136,0.0,1.6957731054212424,0,0.284,0.158,
1000649,EUR_CAD,sell,4.18,1.533383,1.52986,2021-02-17 08:30:00+00:00,2021-02-17 22:00:00+00:00,1472.613999999976,0.0,1.5474464101841234,0,0.347,0.119,
1000653,CAD_CHF,buy,2.31,0.705691,0.70728,2021-02-17 12:30:00+00:00,2021-02-17 22:00:00+00:00,367.05900000001446,0.0,0.6975374574689606,0,0.288,0.22,
1000626,EUR_USD,buy,3.58,1.204381,1.20417,2021-02-17 13:30:00+00:00,2021-02-17 22:00:00+00:00,-75.53799999998611,0.0,1.191912634440466,0,0.032,0.164,
1000627,USD_CHF,sell,3.87,0.896757,0.89856,2021-02-17 13:30:00+00:00,2021-02-17 22:00:00+00:00,-697.7609999999996,0.0,0.9070132434765024,0,0.0,0.24,
1000637,EUR_CHF,buy,0.009999999999999343,1.079281,1.08195,2021-02-16 00:45:00+00:00,2021-02-17 22:00:00+00:00,2.6689999999998575,0.0,1.0788346232442343,0,0.717,0.108,
1000644_partial_1613599200,XAU_USD,sell,0.1,1819.275,1776.405,2021-02-16 00:00:00+00:00,2021-02-17 22:00:00+00:00,428.7000000000012,0.0,1909.1759345131134,0,,,True
1000665,NZD_CAD,buy,6.21,0.91317,0.91527,2021-02-18 00:00:00+00:00,2021-02-18 22:00:00+00:00,1304.0999999999945,0.0,0.9035279203639522,0,0.31,0.08,
1000666,CAD_CHF,buy,6.94,0.70667,0.7068,2021-02-18 08:15:00+00:00,2021-02-18 22:00:00+00:00,90.21999999997466,0.0,0.7006667819354634,0,0.195,0.32,
1000657,USD_CHF,sell,3.74,0.89584,0.89616,2021-02-18 13:30:00+00:00,2021-02-18 22:00:00+00:00,-119.67999999999513,0.0,0.9070146163560074,0,0.007,0.19,
1000667,UK100_USD,buy,16.39,6629.0,6629.0,2021-02-18 13:30:00+00:00,2021-02-18 22:00:00+00:00,0.0,0.0,6426.53124377043,0,0.072,0.177,
1000661,EUR_CAD,sell,3.6,1.53305,1.53322,2021-02-18 14:00:00+00:00,2021-02-18 22:00:00+00:00,-61.20000000000125,0.0,1.5425722618208577,0,0.091,0.393,
1000662,EUR_NZD,sell,3.88,1.6790224999999999,1.67501,2021-02-18 14:30:00+00:00,2021-02-18 22:00:00+00:00,1556.8499999999037,0.0,1.6956550264625823,0,0.312,0.074,
1000644_partial_1613685600,XAU_USD,sell,0.02,1819.275,1775.966,2021-02-16 00:00:00+00:00,2021-02-18 22:00:00+00:00,86.6180000000004,0.0,1909.1759345131134,0,,,True
1000655_partial_1613685600,EUR_USD,buy,2.81,1.20454,1.20915,2021-02-18 00:00:00+00:00,2021-02-18 22:00:00+00:00,1295.4100000000008,0.0,1.191958674569298,0,,,True
1000659_partial_1613685600,NZD_USD,buy,3.34,0.718005,0.72188,2021-02-18 07:00:00+00:00,2021-02-18 22:00:00+00:00,1294.249999999987,0.0,0.7075699508962479,0,,,True
1000658_partial_1613685600,USD_CAD,sell,3.11,1.2723550000000001,1.26782,2021-02-18 15:15:00+00:00,2021-02-18 22:00:00+00:00,1410.3850000000552,0.0,1.2865543550666354,0,,,True
