ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp
1000038,EUR_GBP,buy,0.09999999999999999,0.83041,0.8334153091668601,2025-03-04 21:45:00+00:00,2025-03-25 23:45:00+00:00,30.053091668601482,0.8334153091668601,0
1000370,NAS100_USD,buy,0.17,19722.489,19004.213585968344,2025-03-28 00:00:00+00:00,2025-03-31 00:00:00+00:00,-122.10682038538177,19004.213585968344,0
1000024,NZD_CAD,buy,0.18,0.8111116,0.8143171599303285,2025-03-03 15:00:00+00:00,2025-03-31 13:15:00+00:00,57.700078745912094,0.8143171599303285,0
1000293,GBP_USD,buy,0.12,1.29168,1.29168,2025-03-21 15:45:00+00:00,2025-03-31 14:15:00+00:00,0.0,1.29168,0
1000286,AUD_CAD,sell,0.13,0.90472204,0.9003935839063244,2025-03-20 09:30:00+00:00,2025-04-01 03:30:00+00:00,56.269929217782845,0.9003935839063244,0
1000376,EUR_NZD,buy,0.08,1.888929,1.8973993243734848,2025-03-28 03:30:00+00:00,2025-04-01 14:30:00+00:00,67.76259498787773,1.8973993243734848,0
1000060,AUD_USD,sell,0.09999999999999999,0.63352,0.6293676800491893,2025-03-05 19:45:00+00:00,2025-04-02 02:00:00+00:00,41.52319950810667,0.6293676800491893,0
1000364,AUD_JPY,sell,0.06999999999999999,95.236,94.46386104057703,2025-03-27 11:00:00+00:00,2025-04-02 06:00:00+00:00,54.04972715960823,94.46386104057703,0
1000399,GBP_CAD,buy,0.09,1.84844,1.84844,2025-04-01 14:45:00+00:00,2025-04-02 21:00:00+00:00,0.0,1.84844,0
1000412,NAS100_USD,buy,0.15,19581.77939688,18784.74470749358,2025-04-02 00:00:00+00:00,2025-04-03 00:00:00+00:00,-119.55520340796284,18784.74470749358,0
1000383,USD_JPY,buy,0.09,149.009162,147.07364095406925,2025-03-31 02:15:00+00:00,2025-04-03 05:30:00+00:00,-174.196894133768,147.07364095406925,0
